,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EEE),O (EEE),O (EEE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0218435715001595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.4087188114123324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.088332159592882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,5.031503707906304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3231921980625679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.004436146934474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1660954803031087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.7962736336392688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.7637598704125874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.388417107822212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.8881049083842012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.8837154019659814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.5021180002611496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1958405864747971,0.0,0.0,0.1106616663444375,0.0221323332688875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4712008136263534,0.2031907822916815,0.219446044875016,1.6039729842414736,0.8748943550408043,0.7082478112235081,0.0,0.0,0.0432640065679518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8988712479595793,1.555655030939756,1.5403283803886247,16.41972456228824,5.911886475177942,5.911886475177942,0.0,0.2039623496419686,0.0815849398567874,0.0815849398567874,0.1631698797135749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.046909981770853,5.269043839985132,5.080863702842808,47.61772380836058,17.78940285633726,19.51454828453264,0.0,0.8861168824725629,0.8475900614954951,1.1943314502891065,1.1943314502891065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7638846791418058,9.016930801666378,8.8663062932103,77.80562235387774,31.287195457141195,32.16457054006719,0.0,3.4622570580079888,4.519156580978845,3.717370735966469,4.664935825526553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3758736800978208,9.59324992008191,9.748921318379388,80.14511317051739,35.35960500180262,36.70616259707579,0.0,5.662447323712773,6.939950683330901,6.939950683330899,8.044818453811441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3378035669637283,8.381410044843133,8.252181255605468,62.882318592925465,30.691996985661632,32.22186528350808,0.0,6.715163385075394,9.040902898930772,8.156466745774503,9.630527001034954,2.4518039262581257,0.0,0.0,0.0,0.0,2.193719302441481,0.0,0.0,0.0
39,1.975,0.6981034441956324,5.6882844960370615,5.699976756049472,40.78485476595227,24.25814837107888,24.1982147123486,0.0,7.344178335179103,7.126342537101758,7.281939535728434,8.869028921720531,16.30467943184984,0.0,0.0,0.0,0.1225915746755628,17.040228879903218,0.0,0.0,0.0
40,2.025,1.2556969650276275,3.6257790962195617,3.7592433574300985,24.357804368347825,16.818144619456078,17.345493221930546,0.0,5.180295523267929,5.713125919946909,5.89073605217324,6.926795156826822,46.87831065731284,0.0,0.0,0.0,0.0,50.95975561503909,0.0,0.0,0.0
41,2.075,1.694943643242081,2.584571020865745,2.240314634889776,12.59676290145325,11.877335709883194,12.990411742123673,0.0,3.946930020515029,3.9469300205150297,4.059699449672601,4.67993131003925,78.29786501735983,0.3331824043291908,0.0,0.0,0.1110608014430635,80.07483784044886,0.0,0.0,0.0
42,2.125,1.790591174459965,1.2675400210961376,1.3634892657209448,7.1574021707685525,8.374031111188524,8.154002473027465,0.0,2.3386754345716128,3.037589932259683,2.580607376079021,3.440809834772032,84.61101267466157,0.5294806800667187,0.1058961360133437,0.0,0.3176884080400312,80.69285564216786,0.0,0.0,0.0
43,2.1750000000000003,1.608312841572196,0.8580413513316502,0.8725027224215094,3.8917156421821257,6.226745027491406,6.671512529455073,0.0,1.924474768112041,1.8474957773875595,1.9501344316868685,2.4376680396085857,73.3866378240058,1.1119187549091782,0.1010835231735616,0.1010835231735616,0.7075846622149318,74.49855657891491,0.0,0.0,0.0
44,2.225,1.3181660767070769,0.5297188140531934,0.4974750601543035,2.1250169236220877,4.533369437060448,4.80489937730105,0.0,1.1033741718806989,1.1033741718806984,1.2750101541732517,1.4956849885493917,47.42651406811112,1.545466853543335,0.0965916783464584,0.0965916783464584,2.2216086019685446,46.653780641339424,0.0,0.0,0.0
45,2.275,0.991968478698527,0.2863907174911991,0.3612929051427434,1.1179518674579525,3.771675997282388,3.455487590324584,0.0,0.8208737488327625,0.7739666774708904,0.7739666774708904,0.9146878915565068,29.842847370985016,3.2337450711593703,0.5543562979130346,0.3695708652753564,3.048959638521692,28.45695662620244,0.0,0.0923927163188391,0.0
46,2.325,0.8277544647483082,0.1940533050279032,0.1982718551372054,0.6054713105025207,3.351716183138959,3.167912392450693,0.0,0.7410370022771237,0.4715690014490787,0.6287586685987718,0.4940246681847492,16.89618803171806,3.4500069802984568,0.2653851523306503,0.2653851523306503,4.600009307064608,15.657723987508358,0.0,0.0,0.0
47,2.375,0.8194189327687573,0.1900117483047796,0.1414981104397294,0.3419313068784827,3.1499126451835955,2.725088900273968,0.0,0.3658425870797751,0.4304030436232647,0.5810441088914073,0.624084413253734,10.342715563431785,3.7301597114016265,0.2543290712319292,0.5086581424638584,4.323594210942793,7.884201208189808,0.0,0.0,0.0
48,2.4250000000000003,0.8512393433206188,0.0775562832904737,0.0891897257840448,0.2882221283468938,2.514489602474629,2.6138765432839026,0.0,0.2889866432761961,0.1651352247292549,0.3921961587319805,0.1651352247292549,5.773477743375087,5.366894803700785,0.4878995276091621,0.4878995276091621,5.041628451961346,5.204261627831067,0.0,0.0,0.0
49,2.475,0.8959615777268533,0.0707317312776261,0.1005135128682055,0.2385300099615851,2.31851169682661,2.3948413000143174,0.0,0.3566941072040935,0.1387143750238141,0.2179797321802794,0.2179797321802794,4.605797646894611,4.839990747584167,0.7025793020686694,0.390321834482594,6.167084984824986,2.65418847448164,0.0,0.0780643668965188,0.0
50,2.5250000000000004,0.955064950186013,0.0786885583974592,0.0822653110518891,0.1100050149718016,2.355940737312751,2.337606568150785,0.0,0.1903932951435028,0.0761573180574011,0.209432624657853,0.2284719541722033,2.100095740370758,4.8002188351331565,0.825037612288512,0.1500068385979112,5.7752632860195785,2.100095740370758,0.0,0.0,0.0
51,2.575,0.993452360907198,0.0447096329354741,0.0481488354689721,0.0440727435774189,2.309411763456753,2.212451727586432,0.0,0.1281499774789566,0.2196856756782113,0.1464571171188076,0.1464571171188075,1.0817855241730108,5.264689550975315,0.5769522795589389,0.8654284193384085,5.12045148108558,1.0817855241730108,0.0721190349448673,0.0721190349448673,0.0
52,2.625,0.9806160632838778,0.0198566220043853,0.0165471850036544,0.0169639289222649,2.290130404505769,2.434323800345022,0.0,0.1409311018157397,0.1233147140887722,0.229013040450577,0.1233147140887722,0.971570474638812,5.968218629924128,0.7633768015019237,0.6939789104562942,6.384605976197905,0.5551831283650354,0.1387957820912588,0.0,0.0
53,2.6750000000000003,0.9146173141170956,0.031868795340682,0.063737590681364,0.0816785421324147,2.082802824376573,2.0174599906706416,0.0,0.1526760441398213,0.2035680588530951,0.2035680588530951,0.2035680588530951,0.1336557962166785,5.680371339208842,0.8019347773000715,0.4009673886500357,5.880855033533859,0.4009673886500357,0.0,0.0,0.0
54,2.725,0.831268290125592,0.0276390540939729,0.0460650901566216,0.0157417493275961,2.007073039268507,2.0385565379236987,0.0,0.0653888048992454,0.1307776097984908,0.0653888048992454,0.0980832073488681,0.12879613086215,5.731427823365682,0.3863883925864502,0.3863883925864502,6.826194935693958,0.12879613086215,0.0,0.064398065431075,0.0
55,2.7750000000000004,0.77703507846081,0.0236907127445459,0.0207293736514777,0.0227694072489247,2.0947854669010764,1.9581690234075284,0.0,0.0788171789385856,0.0630537431508685,0.2364515368157569,0.126107486301737,0.1862951502184751,6.023543190397364,0.4967870672492671,0.4346886838431087,6.830822174677422,0.1241967668123167,0.0,0.0,0.0
56,2.825,0.754827610308578,0.0257169897704284,0.0342893196939045,0.0073235213667228,1.867497948514319,1.8967920339812103,0.0,0.1064727337162011,0.1216831242470869,0.1673142958397446,0.1216831242470869,0.1198394405463735,6.531249509777361,0.4793577621854941,0.7789563635514282,7.84948335578747,0.2995986013659338,0.1198394405463735,0.1797591608195603,0.0
57,2.875,0.7510332593896831,0.0303481278505373,0.0275892071368521,0.0141420232138531,2.107161458864116,2.114232470471044,0.0,0.146859471836167,0.1615454190197837,0.1615454190197837,0.0881156831017001,0.520683581964592,5.264689550975315,0.6942447759527893,0.6942447759527893,6.826740296869096,0.0,0.1157074626587982,0.0578537313293991,0.0
58,2.9250000000000003,0.7728368054755623,0.0346502921269667,0.0239886637802077,0.0136626792888096,2.022076534743832,2.1177152897655014,0.0,0.141881669537639,0.2553870051677502,0.0709408347688195,0.0709408347688195,0.0558927789087668,6.763026247960786,0.9501772414490371,0.5030350101789021,6.483562353416953,0.2235711156350675,0.3353566734526013,0.1676783367263006,0.0
59,2.975,0.821753346533195,0.0180359798430755,0.0257656854901079,0.0,2.033924126896164,1.8556255833046176,0.0137152725839651,0.1508679984236167,0.0685763629198258,0.1371527258396516,0.2331596339274076,0.0540298616944082,5.889254924690499,0.3782090318608576,0.3782090318608576,7.51015077552275,0.1080597233888164,0.0540298616944082,0.1080597233888164,0.0
60,3.0250000000000004,0.8880253894203372,0.0249209858474125,0.0224288872626712,0.0063871563727442,1.86504966084132,1.980018475550716,0.0265312649329376,0.1591875895976257,0.1193906921982193,0.1326563246646881,0.1459219571311569,0.1045171042812694,5.957474944032363,0.4703269692657123,0.6271026256876165,5.957474944032361,0.1045171042812694,0.2090342085625388,0.2612927607031735,0.0
61,3.075,0.9258758976876672,0.028940584710366,0.028940584710366,0.0,2.0644998342399683,1.947058226902963,0.0385132396530256,0.1540529586121025,0.141215212061094,0.1155397189590769,0.2054039448161367,0.0505729409585185,6.321617619814819,0.7080211734192592,1.1126047010874078,5.967607033105189,0.0505729409585185,0.101145881917037,0.2528647047925926,0.0
62,3.125,0.9322966018968288,0.0350273929845255,0.0186812762584136,0.0,1.8732822742904436,1.9151767660477377,0.0621511690904915,0.1367325719990813,0.2237442087257694,0.124302338180983,0.1615930396352779,0.097935175536532,6.267851234338044,0.97935175536532,0.6855462287557244,5.386434654509259,0.048967587768266,0.1958703510730641,0.2938055266095961,0.0164890856770691
63,3.1750000000000003,0.8982469656525909,0.0271463019516015,0.0407194529274023,0.0231916554944546,1.895917836671668,1.8727261811772125,0.1083763900990862,0.156543674587569,0.1806273168318103,0.1806273168318103,0.1806273168318103,0.0474374771477481,6.071997074911767,0.7589996343639708,1.1859369286937045,6.641246800684742,0.0474374771477481,0.0948749542954963,0.0948749542954963,0.0
64,3.225,0.8486615266920624,0.0372740555647578,0.0482370130838042,0.0112390616343409,1.6577615910652852,1.83758657721474,0.1283846655922789,0.1167133323566172,0.0933706658852937,0.081699332649632,0.1867413317705875,0.0459779794132128,5.747247426651602,0.96553756767747,0.9195595882642572,6.115071261957303,0.0,0.3678238353057028,0.0919559588264257,0.0
65,3.2750000000000004,0.8169888853243067,0.0637846349756281,0.0467753989821273,0.0108985104699097,1.7819064618302514,1.5584869971970998,0.158447575293304,0.1810829431923474,0.1358122073942605,0.1810829431923474,0.3282128345361297,0.0,6.018950100427463,0.8916963111744384,1.4267140978791018,5.662271575957687,0.0,0.2229240777936095,0.2675088933523314,0.0
66,3.325,0.8006494146208558,0.0907584473202623,0.0886957553357109,0.0158598094812175,1.7181460271319038,1.6018407576029756,0.2635168344571537,0.2525369663547723,0.2305772301500094,0.2305772301500094,0.2086174939452466,0.0,6.05556362010126,1.0813506464466531,1.0813506464466531,6.488103878679918,0.0432540258578661,0.3460322068629288,0.2162701292893305,0.0
