,r ($\AA$),g_full(r),O (DOL),O (DOL),N (PrN),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
37,1.875,0.4043439833873485,6.556938193545714,7.094229031863574,31.94223431025668,0.0,1.6948387925513753,0.0,2.8070767501632146,2.754113037895985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.372541131078604,6.428433908476511,6.022526921597673,57.45428896094124,0.0,3.215887054542049,0.0,3.718369406814244,3.366631760223708,1.187685559916098,0.0,0.0,0.0,0.0,1.3856331532354478,0.0,0.0,0.0
39,1.975,0.7369550268785008,4.609456051997454,4.699134185304794,66.02399704298661,0.0,2.911917971668908,0.0,4.821372379320651,3.723436094920901,12.223401321710018,0.0,0.0,0.0,0.0,12.599505977762632,0.0,0.0,0.0
40,2.025,1.2435131861366049,3.4889531981868505,3.48895319818685,56.06239452339921,0.0,3.1785761316564067,0.0,3.85969958843992,3.405617283917578,36.13394338411134,0.0,0.0,0.0,0.0,31.125277964531573,0.0,0.0,0.0
41,2.075,1.6262309776022754,2.3722999006659355,2.39667284485086,39.47396802528738,0.0,3.2434764184552702,0.0,2.767766543748497,3.632693588669902,49.23531678438975,0.0,0.0,0.0,0.0,60.99046162218522,0.0,0.0,0.0
42,2.125,1.7480160022979974,1.5647948899494055,1.6190204554427012,23.99318420324847,0.0,1.5669400771557338,0.0,1.896822198662204,2.0205279942271304,64.48945564753379,0.6497678150885019,0.0,0.1624419537721254,0.3248839075442509,69.36271426069754,0.0,0.0,0.0
43,2.1750000000000003,1.655344027049921,1.1387464271586725,1.0943796832433994,13.780915661137174,0.0,1.574450604583021,0.0,1.7712569301558982,1.2989217487809923,60.31815687406316,1.0854167046746586,0.0,0.0,0.3101190584784738,69.15655004069968,0.0,0.0,0.0
44,2.225,1.4089199103961856,0.7489822294771508,0.7136528790301153,7.6955354671472,0.0,1.0155285903883222,0.0,1.2412016104746155,0.9403042503595572,46.37694539046109,1.4816915460211206,0.2963383092042241,0.0,2.0743681644295684,49.19215932790123,0.0,0.0,0.0
45,2.275,0.988556643147842,0.405522468534865,0.5474553325220679,3.95288402449208,0.0,0.6835653097815906,0.0,0.9713822823212076,0.8634509176188513,34.29818922763772,2.551104983873879,0.5669122186386398,0.2834561093193199,1.4172805465965992,35.432013664915004,0.0,0.0,0.0
46,2.325,0.6328959920914544,0.2976727876142597,0.3753265582962405,2.506172498686163,0.0,0.6200354920607392,0.0,0.6200354920607392,0.5511426596095459,21.44028452344709,2.035470049694346,0.4070940099388691,0.8141880198777381,1.8997720463813887,26.32541264271353,0.1356980033129563,0.0,0.0
47,2.375,0.4901032228187827,0.1736435747721507,0.2604653621582261,1.4020450162710798,0.0,0.3631249701004428,0.033011360918222,0.429147691936887,0.2640908873457766,12.874430758106618,2.7309398577801915,0.7802685307943401,0.7802685307943401,2.210760837250631,16.12554963641637,0.0,0.0,0.0
48,2.4250000000000003,0.5342699591022462,0.1844024883429489,0.1903509557088505,0.9238375396565562,0.0,0.253313194904855,0.0,0.1899848961786412,0.1899848961786412,7.359515927728177,2.868963836233018,0.6236877904854384,0.9979004647767016,4.241076975300984,7.983203718213616,0.0,0.0,0.0
49,2.475,0.6844618411032783,0.1713168311841959,0.1656062701447226,0.5388693053611979,0.0,0.3039775568704193,0.0,0.0911932670611258,0.1215910227481677,3.5924620357413173,3.472713301216608,0.9579898761976852,0.9579898761976854,6.10718546076024,4.670200646463714,0.0,0.0,0.0
50,2.5250000000000004,0.7974270791089513,0.1371661684785239,0.0493798206522686,0.4098774507171892,0.0,0.2628525837797683,0.0,0.2336467411375718,0.2628525837797683,2.4161197094907987,4.141919501984226,0.5752665974978095,1.035479875496057,4.487079460482912,3.9118128629851032,0.2301066389991237,0.0,0.0
51,2.575,0.8728315013876414,0.0685834290078141,0.0685834290078141,0.1866860121768647,0.0,0.1684960930416829,0.0,0.1684960930416829,0.1404134108680691,1.216916227523266,4.535778666223084,1.1062874795666051,1.1062874795666051,4.646407414179745,2.7657186989165137,0.1106287479566605,0.0,0.0
52,2.625,0.9342526365573128,0.0558425052863516,0.076148870845025,0.1197614059653575,0.0,0.1351154323711725,0.0,0.0810692594227035,0.1351154323711725,0.9580912477228604,3.1936374924095348,0.4258183323212712,0.8516366646425425,3.93881957397176,2.129091661606356,0.0,0.0,0.0
53,2.6750000000000003,0.8099742045947714,0.0293315482947484,0.0391087310596645,0.1105210517659128,0.0,0.104089391897261,0.0520446959486305,0.1301117398715763,0.1561340878458916,1.1276350788869949,4.100491195952712,1.1276350788869949,1.0251227989881773,5.330638554738524,0.7175859592917241,0.1025122798988177,0.2050245597976354,0.0
54,2.725,0.7088226202020071,0.0565301324670642,0.0612409768393196,0.0926109177727473,0.0,0.2507618696615927,0.0,0.1253809348307963,0.1253809348307963,0.5927098737455828,4.445324053091873,0.9878497895759716,1.2842047264487628,7.0137335059894,0.69149485270318,0.0,0.0987849789575971,0.0
