,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DMS),O (DMS-i),O (DMS-i),O (DMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,0.7567522545405461,0.5713342013999078,0.5496927543771837,0.0,0.1981685621513683,0.237802274581642,0.8209840431985262,0.0,1.1289510548407968,0.8985528803834911,1.0137519676121438,0.9907121501664132,34.30838270555144,2.0875470958404336,0.2722887516313608,0.3630516688418144,2.9951762679449705,36.84974438744415,0.0,0.0,0.0
46,2.325,0.5255792393528337,0.4558548796175454,0.4268459327327926,0.0,0.1788950340427268,0.1897371573180437,0.5908957185047654,0.0,0.7279651769892499,0.5514887704464014,1.147096642528515,0.5294292196285454,20.161092505046614,4.084359257487895,0.434506303988074,0.0869012607976148,4.779569343868812,26.070378239284445,0.0869012607976148,0.0,0.0
47,2.375,0.3947800289282028,0.3177190780514397,0.3415480089052976,0.0,0.1194900010932588,0.1558565231651202,0.4675695694953613,0.0,0.7399188529236416,0.8033404688885251,0.4862323890641072,0.6342161596488356,13.6580692158719,5.496540050289915,0.4164045492643872,0.5829663689701421,5.413259140437037,13.241664666607509,0.0,0.0,0.0
48,2.4250000000000003,0.4026810096075142,0.2399928221584991,0.2476116419095625,0.0,0.1744119228457064,0.1445127360721566,0.2989918677354967,0.0202777817989843,0.527222326773592,0.4258334177786704,0.6691667993664822,0.527222326773592,7.588806218710803,6.55033799930827,0.3195286828930861,0.9585860486792586,5.671634121352281,11.902443437767465,0.0798821707232715,0.0,0.0
49,2.475,0.5128297011116452,0.1718815478311101,0.2157661983411808,0.028703381997135,0.1435169099856753,0.1291652189871077,0.310953304968963,0.0194667808672877,0.4477359599476185,0.3114684938766042,0.6034702068859207,0.564536645151345,4.0644278841094765,6.288360122584475,0.8435605042491361,0.4601239114086198,7.898793812514639,4.0644278841094765,0.0,0.0,0.0
50,2.5250000000000004,0.6685817458226146,0.1791966122170959,0.168655635027855,0.0459631771578747,0.1241005783262618,0.1149079428946868,0.1976416617788615,0.0187034774742428,0.4488834593818291,0.4114765044333434,0.3740695494848577,0.3366625945363719,3.0208949981125626,7.515397312377589,0.5157625606533643,0.5157625606533643,6.852274020108979,2.431452071651576,0.0736803658076235,0.0736803658076235,0.0
51,2.575,0.8687324576362787,0.1723053010020108,0.1486555538056563,0.0530347017873419,0.1060694035746839,0.1016498450924054,0.1502649883974689,0.0,0.4136366773375575,0.4316208807000598,0.5215418975125724,0.467589287425065,1.7003246815456896,9.139245163308082,0.6376217555796339,0.4250811703864225,8.501623407728447,1.2043966494281977,0.0,0.0708468617310704,0.0
52,2.625,0.9868073482661136,0.1397955298270627,0.1202891768279376,0.0850560571858507,0.1360896914973611,0.0935616629044358,0.1318368886380686,0.0,0.3634183612606214,0.3634183612606214,0.2941958162585982,0.4326409062626445,0.9544320598763798,7.499109041885845,1.227126934126774,0.6135634670633868,7.567282760448442,1.1589532155641755,0.0,0.136347437125197,0.0
53,2.6750000000000003,0.9129727951947456,0.1346185205706277,0.1408798471087964,0.1556217794401559,0.1310499195285523,0.1474311594696214,0.1310499195285523,0.0166647614015875,0.2833009438269884,0.4499485578428638,0.2666361824254008,0.2166418982206381,0.5251924805348803,8.009185328156933,0.8534377808691804,0.7877887208023205,8.468728748624953,0.6564906006686003,0.06564906006686,0.06564906006686,0.0
54,2.725,0.8226951458870597,0.1116228485231978,0.14480801970577,0.2486235990505968,0.1696954723678677,0.1223385963582302,0.1815346913702771,0.0321176761655105,0.3854121139861269,0.4175297901516375,0.4496474663171481,0.5138828186481692,0.8856692518368064,8.034285355948176,1.012193430670636,0.5060967153353181,7.6547128194466865,0.3795725365014885,0.0632620894169147,0.0632620894169147,0.0
55,2.7750000000000004,0.8260270322817451,0.1105458509557237,0.1134549522966639,0.4490464633191018,0.1864684466325082,0.1788574896270997,0.1065533980757189,0.0,0.3251927745118577,0.3251927745118577,0.3406781447267082,0.4181049958009599,0.305014867868265,7.320356828838364,0.854041630031142,1.098053524325754,9.516463877489873,0.4270208150155709,0.0610029735736529,0.2440118942946119,0.0410836352638887
56,2.825,0.8459739327790173,0.0954393011084195,0.1431589516626293,0.763769111772572,0.1872703110596209,0.1909422779431429,0.1946142448266649,0.0,0.328725773772529,0.2540153706424087,0.4333203381546975,0.3586099350245771,0.5886274186009474,7.946470151112789,1.0006666116216103,1.0595293534817052,8.947136762734397,0.2354509674403789,0.1177254837201894,0.2354509674403789,0.0198211273610523
57,2.875,0.8500318696268254,0.1056998905306453,0.1273819193574444,1.304692517229994,0.2339937666771184,0.1666319247549177,0.177268005058423,0.0432806652350334,0.2308302145868451,0.2596839914102008,0.3895259871153014,0.2741108798218786,0.5683319677327627,7.615648367619015,0.90933114837242,0.852497951599144,7.274649186979357,0.1136663935465525,0.1704995903198288,0.2273327870931051,0.0
58,2.9250000000000003,0.8652370169857223,0.1152091401219058,0.1230643087665812,2.041413304638165,0.2774403987847171,0.2431884977001842,0.2363381174832774,0.041813666939349,0.4041987804137077,0.3763230024541417,0.4181366693934908,0.2230062236765284,0.1098136707498056,8.510559483109938,0.6588820244988339,1.043229872123154,7.577143281736591,0.0549068353749028,0.0,0.2196273414996113,0.0184890364017529
59,2.975,0.886606697823156,0.1619915593130739,0.1417426143989397,3.274606548179229,0.2350829776751521,0.3211697018942217,0.2615712005117889,0.0808400185418128,0.2964134013199803,0.2964134013199802,0.2829400648963448,0.2829400648963447,0.1592303395520555,6.687674261186329,1.2207659365657595,1.1146123768643894,7.165365279842495,0.1592303395520555,0.2123071194027407,0.2653838992534259,0.0178727932150266
60,3.0250000000000004,0.909735445848438,0.129751324201462,0.1101662186616187,4.8165290932163645,0.3714876162321138,0.3234504244779612,0.2594008354724242,0.052126511667583,0.2997274420886024,0.2736641862548109,0.2997274420886024,0.2476009304210194,0.102673432072512,6.057732492278205,0.9753976046888648,1.0267343207251207,7.957190985619675,0.2053468641450241,0.102673432072512,0.2053468641450241,0.0345737067182948
61,3.075,0.9453167201704854,0.1303045123856093,0.1421503771479375,7.357459886000283,0.4121913078509001,0.399794576787715,0.3161166421112169,0.0756677392202867,0.2396145075309079,0.4035612758415292,0.2143919277908124,0.302670956881147,0.2484041944100323,6.458509054660837,1.4904251664601935,1.4407443275781873,7.303083315654945,0.1987233555280258,0.0496808388820064,0.2484041944100323,0.0167292620725123
62,3.125,0.97570720739324,0.1582837596144974,0.1743415323290116,10.181729352330525,0.5251407711929978,0.5641512284816208,0.3720997464453243,0.109898690621972,0.3663289687399069,0.4884386249865425,0.3296960718659163,0.4151728312385612,0.1443114119278421,6.34970212482505,1.4912179232543692,1.6355293351822116,6.926947772536421,0.1924152159037895,0.2405190198797369,0.2886228238556843,0.0323964394123727
63,3.1750000000000003,0.9638946113565636,0.1844498186166058,0.1866721055878902,14.36657695796706,0.6221059225020138,0.636641107607201,0.2703544429564827,0.1301234494262838,0.3193939213190605,0.3193939213190604,0.3903703482788517,0.3075645168257619,0.0932013687350793,6.011488283412614,1.4446212153937297,1.8640273747015867,7.129904708233563,0.0932013687350793,0.279604106205238,0.419406159307857,0.0627682687399514
64,3.225,0.9078108505213124,0.1636974935793354,0.1701592367469407,18.34255578488261,0.7663863553745115,0.6593176733736609,0.3662875963187006,0.0802581638561033,0.4242217232394035,0.4012908192805169,0.3439635593833002,0.4127562712599602,0.0,6.233036621551928,1.4905087573276332,1.3098410291667082,5.465198776867995,0.1806677281609253,0.135500796120694,0.4065023883620821,0.0
65,3.2750000000000004,0.8407751866188173,0.1921557381112365,0.2151308807114931,20.67199017153641,0.7978087668634202,0.8961687518191843,0.3934399398230565,0.1445345334488866,0.3780133951740112,0.3557773131049517,0.3780133951740112,0.4002494772430707,0.0,6.0441713987716215,1.8395304257131035,1.7957320822437433,4.993011155506998,0.2627900608161576,0.1751933738774383,0.1751933738774383,0.1327357960244877
66,3.325,0.8041087085640025,0.2188410788494587,0.2026306285643136,18.499019593029068,0.9807475640379356,0.948939534934002,0.3949496947071688,0.1833651318792756,0.2696546057048169,0.4098750006713219,0.4206611848995146,0.4961644744968634,0.1274730863331862,4.589031107994706,1.7846232086646077,1.8271142374423373,5.481342712327006,0.169964115110915,0.2549461726663725,0.0849820575554575,0.143082035680107
67,3.375,0.7997334834631705,0.275339876276819,0.2576394556590236,13.262340359806196,1.1422849892830154,1.2091755517185077,0.4270705140112173,0.3036000350067699,0.4501655691479694,0.4292276356992267,0.4187586689748552,0.4711035025967122,0.288689688459938,5.567586848870229,2.3507588917452105,2.020827819219567,5.155173008213175,0.1649655362628217,0.5773793769198761,0.2062069203285271,0.1666488580614219
