,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MA-i),O (MA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.1172690004909405,0.8908287994286064,0.8533202184000339,0.0,3.190864287748887,0.0,4.068094140095103,4.342628100469619,4.093051772856425,3.6188567503913496,74.23005016737957,3.3428102062131217,0.5899076834493743,0.1966358944831247,4.424307625870308,72.95191685323925,0.0,0.0,0.0
45,2.275,0.884350803689248,0.6368351341266851,0.6682284153864515,0.0,2.1954985762438044,0.023872693001932,2.8647231602318537,3.318304327268564,2.816977774227989,2.912468546235718,48.71476202273055,6.30094412263117,0.3761757685152936,0.470219710644117,5.924768354115877,46.83388318015408,0.0,0.0,0.0
46,2.325,0.7644418956036112,0.4165124970980982,0.4508640432505186,0.0,1.3653745955822418,0.0,2.4456979647209844,2.399983984071994,2.239985051800528,2.3314130130985085,33.225752298970704,6.843244375939771,0.9904695807281244,0.7203415132568176,4.862305214483516,31.15477044835734,0.0,0.1800853783142044,0.0
47,2.375,0.730616160243792,0.3991603735670505,0.3003990440246877,0.0,0.922534204441444,0.0219047564241394,1.7085710010828812,1.883809052475997,1.8838090524759967,2.256189911686369,18.81153930485189,8.197689146609772,0.9492061117127116,1.0354975764138672,7.938814752506307,18.29379051664496,0.0,0.0,0.0
48,2.4250000000000003,0.6574969454417816,0.2644568894834979,0.2249857119486476,0.0045147198105977,0.6456049329154815,0.0,1.323681119853339,1.3867135541320694,1.302670308427095,1.7438973483782092,10.59454248886943,9.187454814566456,0.9932383583315098,1.0760082215258022,11.091161668035188,10.180693172897966,0.0,0.0827698631942924,0.0
49,2.475,0.6399634198451256,0.2159875077161755,0.2008304896308297,0.0043341555847352,0.5547719148461066,0.0201704932981907,1.2505705844878277,1.210229597891446,1.109377131400492,1.2505705844878277,6.912978157652644,10.091358919791787,0.7151356714813087,1.1918927858021813,11.680549300861372,6.118382967117858,0.0,0.0794595190534787,0.0
50,2.5250000000000004,0.6995448294816485,0.1529083805288781,0.1274236504407317,0.0,0.4330779350610901,0.0193795969461508,1.0271186381459965,1.1433962198229015,1.0077390411998457,1.3178125923382595,4.733319738968964,11.375236146877032,1.1451580013634597,1.1451580013634597,12.749425748513186,3.893537204635764,0.0,0.0,0.0
51,2.575,0.7887132303888695,0.1155220220622534,0.1295246914031326,0.0040040690842514,0.2922970431503531,0.0,0.9317160753738856,0.9503503968813632,1.024887682911274,0.913081753866408,2.569277662394656,11.892085180226704,1.0277110649578622,1.3213427978029657,11.23141378132522,1.9086062634931733,0.0,0.0,0.0
52,2.625,0.8390516471718042,0.107794645007015,0.1313747236022996,0.0,0.227326434212108,0.0358624492042569,0.7889738824936522,0.7710426578915237,0.8248363316979089,0.8069051070957809,1.4834013079942636,11.372743361289343,1.4127631504707263,1.0595723628530451,14.339545977277876,0.9889342053295086,0.1412763150470727,0.0706381575235363,0.0
53,2.6750000000000003,0.828651834928846,0.1005588808171262,0.0940712110869891,0.0037103036803759,0.2337491318636861,0.0,0.8288247606009093,0.7424888480383148,0.8806263081384662,0.707954483013277,0.6122001072620354,11.631802037978666,1.904622555926332,1.360444682804523,11.155646398997083,1.0883557462436182,0.0,0.2040667024206784,0.0
