,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.7186614604395031,22.933347377548817,21.54555025939154,0.7574997425150377,0.0,16.47379231427358,18.68999755834626,15.21794267596573,16.621539330545087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3658221813960422,24.34301241521664,24.836052094163783,0.6933139784809577,0.0,27.95954695459524,32.54365290084303,30.409069215949028,27.679601553297672,0.2757038043082171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3386763766434481,20.52536490046624,18.99110790699474,0.657767410661381,0.0,35.05820408046536,37.0169484372338,34.06223237363397,35.29059747872604,3.661956578652835,0.0,0.0,0.0,0.0,3.0080357610362567,0.0,0.0,0.0
39,1.975,0.6871125455157924,14.504504805554587,14.243802921794618,0.4056277972648404,0.0,33.68414185386483,34.09415481650551,34.25185210982885,33.46336564321217,22.364343416764168,0.0,0.0,0.0,0.0,22.73708247371025,0.0,0.0,0.0
40,2.025,1.212109746518017,9.338976386579956,8.933178981731578,0.2085649169303887,0.0,25.291063130633404,26.91113123152806,25.92108961431466,26.221102225591448,62.75718350435395,0.1181867862605535,0.0,0.0,0.0,63.34811743565671,0.0,0.0,0.0
41,2.075,1.6771477437534985,6.129961914859278,5.5234070143521885,0.148976382264531,0.0285729061368895,18.85811805034711,17.200889494407512,18.65810770738888,20.00103429582268,116.1618511310637,0.4502397330661383,0.0,0.0,0.4502397330661383,108.50777566893932,0.0,0.0,0.0
42,2.125,1.9016758309183903,3.828358332527579,3.638987666346404,0.0852291161277909,0.0,13.485868605758926,12.668543235712928,13.40413606875433,12.50507816170373,130.2932221218778,1.5025577509936483,0.1073255536424034,0.3219766609272103,1.5025577509936483,128.57601326359932,0.0,0.0,0.0
43,2.1750000000000003,1.8237166308479231,2.2864256984644244,2.364594098411928,0.0903952753403595,0.0,9.388175157541005,8.503970295057917,8.66000644726081,9.2841510560724,107.57037765502794,2.151407553100559,0.4097919148762967,0.7171358510335193,2.868543404134079,111.25850488891456,0.0,0.1024479787190741,0.0
44,2.225,1.4805822484665725,1.4098649844680406,1.4332071199724774,0.0691027070334585,0.0,6.386551917924963,6.336851124789358,6.262299935085956,6.958111038984392,83.99434039916883,3.915820065229316,0.7831640130458629,1.5663280260917258,3.915820065229318,82.03643036655419,0.0,0.0,0.0
45,2.275,1.0738853026120476,1.071716325475689,0.8975624225858896,0.0165246813108105,0.0,5.015495003697327,4.088460382160854,4.8253340556898445,4.4687822781758175,49.91004578575145,8.146667886229594,0.8427587468513376,1.5918776329414162,6.086590949481876,62.17686754547649,0.0936398607612597,0.0936398607612597,0.0
