,r ($\AA$),g_full(r),O (DOL),O (DOL),O (FDE),O (FDE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
63,3.1750000000000003,0.8772540778188299,0.1554048847493701,0.1645463485581565,0.0,0.0,0.4866071504369415,0.8515625132646476,0.7542410831772595,1.0340401946785007,1.0462053734394243,0.047923431482426,10.495231494651312,2.587865300051007,2.1086309852267457,10.543154926133736,0.0,0.7667749037188162,0.8146983352012421,0.0
64,3.225,0.8140682700184205,0.1749891580782049,0.1639138949086981,0.0,0.0061312656906388,0.6956628379763341,0.8017808980066222,0.9078989580369106,0.9550625402725936,0.9550625402725942,0.2322449125241998,11.147755801161605,2.87983691530008,2.2295511602323184,9.707837343511564,0.0,0.6967347375725993,1.1147755801161583,0.015640983904691
65,3.2750000000000004,0.7536204923024219,0.2233852443529749,0.2190893742692638,0.0,0.005945484195856,1.0518933577283855,0.868955382471275,0.8346545121105664,1.063326981181955,1.1776632157176492,0.1351246408149112,10.719888171316276,3.558282208125994,2.702492816298225,8.467810824401095,0.1351246408149112,0.7206647510128601,0.8557893918277714,0.0606682060801642
66,3.325,0.7171746925238718,0.2271366427742331,0.2771483806327799,0.0,0.0,1.3976357203084642,0.8873877589260094,0.8762954119394343,1.009403575778336,0.95394184084546,0.1310913734777057,10.967978247634727,3.932741204331173,2.665524594046684,9.962944384305642,0.0,0.5243654939108231,0.7865482408662346,0.0441430135180029
67,3.375,0.7065323729119519,0.3256286180202886,0.2831553200176421,0.0,0.0,2.1962895723214557,1.022781908679108,1.0443141593881418,1.2058060397058956,1.0981447861607263,0.2120600448616971,7.931045677827469,3.265724690870136,2.5871325473127063,9.076169920080634,0.0,0.8482401794467886,0.9330641973914676,0.0142815948580326
68,3.4250000000000003,0.7259893228192758,0.3338660387179669,0.3613608889653292,0.0,0.0,2.7912409401668112,1.1290412791685975,1.1499494510050527,1.3381229975331526,1.191765794677964,0.0823655254163397,7.907090439968618,3.5005348301944403,3.047524440404573,7.742359389135939,0.1235482881245096,1.317848406661437,1.029569067704248,0.0970736549549719
69,3.475,0.7653992820928822,0.427349396930083,0.4578743538536606,0.0052808175477788,0.0,3.5645518447507474,1.0967851830002306,1.1577176931669098,1.4014477338336284,1.2998935502224946,0.0400061935437794,7.681189160405653,3.400526451221252,3.000464515783459,9.041399740894152,0.0,0.8801362579631472,1.0001548385944854,0.2424865200510713
70,3.5250000000000004,0.803089069069333,0.4931832292743734,0.4931832292743733,0.0,0.0,4.608995520683154,1.3224955027227894,1.519882891188877,1.4804054134956597,1.3323648721460937,0.0777586681836104,6.531728127423274,4.121209413731353,3.304743397803443,7.581470147902016,0.0777586681836104,0.89422468411152,1.2441386909377663,0.2749324339349084
71,3.575,0.82699690171364,0.5245489293736222,0.6128750377561222,0.0,0.0,5.440500029731735,1.6407857232524286,1.4776666747419538,1.5736190562187036,1.7463333428768542,0.1133982690179776,7.44648633218053,4.006738838635212,3.477546916551316,6.803896141078655,0.1511976920239701,1.2851803822037469,1.3229798052097397,0.3818513140401288
72,3.625,0.8601343071246436,0.82399986074891,0.8117275223973309,0.0,0.0048528332224531,5.926055954341839,1.7078239994402444,1.6051679120421984,1.7544858573484483,1.763818228930089,0.1102916641466626,6.543972072701983,4.264611013670957,3.3822777004976543,6.470444296604211,0.073527776097775,0.7352777609777508,1.1396805295155137,0.408529327400393
73,3.675,0.899557668069146,0.936490003462926,0.9040796026144822,0.0,0.0,6.474154711343616,2.024875877460908,1.7161504073547609,2.088437003659233,1.7978718553240345,0.1073109922828853,5.6874825909929285,3.7201143991400314,4.256669360554458,5.830563914036774,0.0715406615219235,1.144650584350777,1.752746207287128,0.6143006803132524
74,3.725,0.9260462724045704,1.2004149901418129,1.107436788969003,0.0,0.0,6.831803222328958,2.050424770479068,1.82947382538434,2.068100846086645,2.147643186320747,0.1044495376811436,5.675091547342143,4.630596170530704,3.3423852057966004,6.580320873912057,0.1044495376811436,1.2185779396133427,1.8104586531398243,0.9379142159123094
75,3.775,0.9198105302859468,1.3741395903844271,1.3838393992577305,0.0089496903204331,0.0044748451602165,7.3576780999714995,2.3492937091137054,2.2976608803419745,2.2202116371843803,2.5127976668908496,0.2712027369828233,4.610446528707999,4.7121475550765535,3.559535922899555,5.390154397533614,0.1695017106142645,1.62721642189694,1.525515395528381,1.1301267113812297
76,3.825,0.9072132437051696,1.7069170111815888,1.730536711520818,0.0087172440718646,0.0,8.16403435191939,2.3385683615867645,2.455915877938788,2.6319371524668256,2.330186396133048,0.0990595917257346,3.929363805120811,3.566145302126451,4.622780947200956,4.358622035932326,0.0330198639085782,1.3538144202517064,2.21233088187474,1.5344128595884214
77,3.875,0.9110420404817704,2.0697347813475546,2.138777083171604,0.0,0.0127406060965975,8.224224576457528,3.103480972248124,2.5807894400800184,2.931972813255464,2.727796433502299,0.1608662385934035,2.895592294681263,4.986853396395507,4.439908185177933,4.27904194658453,0.2252127340307649,1.3191031564659093,1.705182129090078,2.2642743828136838
78,3.925,0.9295362044963384,2.424097072989351,2.465969200098359,0.0124180765540429,0.0041393588513476,8.827978781047177,3.335367997528195,3.2398443317278645,3.128400054960813,3.104519138510729,0.1567938958843802,2.7909313467419685,4.515664201470155,4.358870305585776,3.982564955463261,0.1254351167075042,1.3797862837825454,1.4738626213131736,2.671575993344267
79,3.975,0.9473357565422346,2.921930706984856,2.8738150815704344,0.0080717606755829,0.0080717606755829,9.515364027177547,3.709905387431376,3.3528852037036714,3.647814920696124,3.554679220593246,0.1222994041754986,2.4459880835099725,5.044850422239316,4.86140131597607,3.057485104387465,0.2445988083509973,1.651041956369233,2.048515019939603,3.0783883188766503
80,4.025,0.9578170611890666,3.1029128613529355,3.00621346879015,0.0118087022917849,0.0078724681945233,10.17365120523013,3.852967606742658,3.603168135185669,3.6183074970982143,3.777270797179934,0.2087396869759967,2.5943361095588187,5.009752487423927,5.5166917272227725,2.743435885970245,0.1490997764114262,1.3418979877028367,1.9681170486308284,4.076813886449569
81,4.075,0.9608485153460984,2.85936439176956,2.888499109007387,0.0115206996163291,0.0076804664108861,10.870813996946504,3.914083844009274,4.342417547693307,4.157790951277774,4.3202623561234414,0.1454633789940551,1.3673557625441188,4.829384182602636,4.713013479407391,2.4728774428989397,0.2618340821892993,1.9201166027215293,2.0364873059167734,4.947239205991702
82,4.125,0.9590775053758774,2.449274896420683,2.399179168854314,0.0224862119843862,0.0149908079895908,10.904371388582176,4.670213258295606,4.295443058555835,4.821562762036668,4.216164747072423,0.2555251361862073,1.419584089923375,4.684627496747133,5.195677769119547,2.0442010894896607,0.3123084997831423,1.533150817117245,1.9306343622957904,5.392101853398749
83,4.175,0.9597949320335774,1.928365393541669,1.8279159282166757,0.0146339010536623,0.0146339010536623,11.404593080762805,4.488667727036808,4.601236196680365,4.882657370789255,5.009296899138257,0.2217257735403385,1.3026389195494883,4.628525522654569,4.905682739579994,1.6629433015525383,0.3325886603105077,2.023247683555588,2.023247683555588,5.338387374167641
84,4.2250000000000005,0.9624775710538256,1.393854520219424,1.3499739149532564,0.0250067825775662,0.0071447950221617,11.61029191101291,5.372336257048572,4.705946721327715,4.850216620813677,5.179976391067296,0.3788906451146401,0.5412723501637717,4.086606243736473,5.412723501637713,1.109608317835732,0.4600814976392059,2.138025783146896,2.1380257831468965,5.112538274786686
85,4.275,0.9641619893669836,1.056377195389149,0.9769598167381748,0.0104679668621855,0.0034893222873951,11.669098957269672,4.724005558319634,5.482262132311281,4.932022848529733,5.173591314580168,0.5551194548128703,0.819462052342809,5.23398343109278,4.678863976279908,1.03093613036676,0.5551194548128703,1.6389241046856176,2.4583861570284267,4.593087500754881
86,4.325,0.9701260482697108,0.7894655010961869,0.7278847287797917,0.0034091115554356,0.0068182231108712,11.977782330347912,4.70719634000537,5.067775446830292,4.83176003145398,5.100555365632558,0.3873990403904136,0.8264512861662158,4.907054511611905,5.29445355200232,1.110543915785852,0.619838464624662,2.1177814208009287,2.298567639649789,4.017881476049147
87,4.375,0.9808313097706292,0.631903337539915,0.5837583213463976,0.0299847160853225,0.0166581756029569,10.706081320208131,4.587405281429695,4.625847225128827,4.574591300196652,4.1965788538218565,0.5047932000896055,0.7319501401299281,5.174130300918463,5.931320101052868,1.0853053801926529,0.9086277601612908,2.120131440376346,2.700643620479393,2.881184453776745
88,4.425,0.993999633099204,0.4976928298818839,0.5565217695842344,0.0260541608153768,0.0195406206115326,9.012484955126762,3.7327595783568817,4.045910549695544,3.6388142869552818,3.6701293840891487,0.4441050138984694,0.6661575208477041,5.156552661376678,5.403277669098051,0.5674675177591553,0.9622275301133508,2.6646300833908185,2.1218350664037997,2.2930320105369946
89,4.4750000000000005,1.0090910745685695,0.4843325820767821,0.4762795462702799,0.0254752035570267,0.0254752035570267,7.16490100041378,3.147657362574943,3.172152750610547,3.361992007886466,3.361992007886468,0.5789818990233359,0.627230390608614,5.0419673706615535,5.4038310575511375,1.0855910606687544,0.7961001111570866,2.5812942998123742,2.3159275960933448,1.6815583980562931
90,4.525,1.0218148188194844,0.4905656000465186,0.5164440605994312,0.0218009152901406,0.0218009152901406,5.408303985438747,2.6113184248630046,2.934738596749707,2.779017773248704,2.790996298133397,0.5662575400036538,0.5898516041704727,4.8603772183646985,6.040080426705644,0.8021981816718429,1.0853269516736694,2.147059839180522,2.760505507517813,1.2155758161047825
91,4.575,1.035275679559036,0.5030160795135235,0.4666932553911028,0.0243737156777843,0.0243737156777843,4.183373315850493,2.150277320612226,2.460807832853229,2.63072075464548,2.724465814944648,0.738597444781345,0.738597444781345,4.800883391078747,5.193263283618837,0.7847597850801792,1.1309773373214351,2.446604035838207,2.2619546746428707,0.8316286918121595
92,4.625,1.0507754714148874,0.4620423411615934,0.4889678855183297,0.0387555515253118,0.035774355254134,2.700275853316845,2.0983035293290127,2.138435017594868,2.29896097065829,2.230164133631109,0.8130535285030456,0.7904687082668499,4.7202274293649005,5.149339013852616,1.0840713713373944,1.1744106522821771,2.100388281966202,3.116705192595006,0.7148786976803989
93,4.675,1.0662385041422768,0.5165125726397991,0.5228372163864091,0.0379309967630011,0.0496020726900783,2.1378268885655927,1.991938439477127,1.9975495336728355,1.958271874302864,2.1041603233913304,0.7515465559102781,0.994693971057721,4.33244485171807,4.840843992480908,1.1273198338654171,1.6799275955641513,2.718830187557772,2.5641000142821264,0.6029063457227415
94,4.7250000000000005,1.077893073886892,0.5345326884583719,0.5386603540063131,0.0314197901509276,0.0342761347101028,1.5929613887708065,1.664370002750188,2.0763427757081545,1.9445114883616057,2.202681092748598,0.9088369051921216,0.952114853058413,4.782213239225211,4.695657343492628,1.0170317748578503,1.363255357788182,2.661593793776927,2.704871741643218,0.495488341897745
95,4.775,1.0848459388919045,0.5587616598011235,0.620397213594737,0.0307652351132451,0.044749432891993,1.3284987889810416,1.8125671736300053,1.8663525497021116,1.9040023129525865,1.9524091514174824,1.0805971010850597,0.9110916734638732,3.750307586118736,4.87328104410909,0.9958443872744668,1.652677919306561,2.5425814143177856,2.818027734202215,0.5493791984508074
96,4.825,1.086382800720993,0.6115643214683206,0.5838559056089143,0.0356092727244596,0.0356092727244596,1.1114728616658278,1.6645754705516664,1.9016194457884543,1.880548870211851,2.075451694295432,0.7262963551026154,0.8093016528286288,4.54454005049922,4.046508264143141,1.2658307903217016,1.6808572789517673,3.1749526380200037,2.5731642295064074,0.5939537247996605
97,4.875,1.0873843873812492,0.6582167269612378,0.6979617723300311,0.0482989546452382,0.0724484319678573,1.0887905374086828,1.8782926806481544,1.8421716675587667,1.888612970102265,1.8112107991964348,1.239998414713608,1.0163921432078755,4.350158372929702,4.309502687201387,1.1993427289852931,1.809178014910016,2.947537215302836,2.784914472389576,0.7392697139577278
98,4.925000000000001,1.0863155376531446,0.690510677450312,0.711406461362151,0.0657267384863295,0.0473232517101573,0.9960128832159172,1.6735038799211606,1.8403486776172289,1.946522639787452,2.1032556315625466,1.015776867516002,0.8962737066317664,4.142776243986831,4.162693437467537,0.9958596740352962,2.2108084763583573,3.146916569951535,3.326171311277889,0.7846967758061798
99,4.9750000000000005,1.0865974640040097,0.7623357094215245,0.7725746505737067,0.0386473487853256,0.0566827782184776,0.8076304938471907,1.7539950602570895,1.9125482860430416,1.7936333667035769,1.902638709431419,1.3077638225337456,1.0540186032361536,3.825697152486784,4.020885782715703,1.13209405532772,1.717659946014472,3.3962821659831626,3.2401312618000286,0.8873115792549247
100,5.025,1.083909684215151,0.7463280694896207,0.8165814452239737,0.0782896320131606,0.0782896320131606,0.7916383385946139,1.7484036926016002,1.7192636310582414,1.9378140926334413,1.7532603695254931,1.3201330911310072,0.9566181819789908,3.616016727880583,3.7499432733576414,1.3392654547705871,1.7219127275621815,3.807340364276381,3.539487273322261,0.9341669389325452
101,5.075,1.084148742238996,0.8399282213212348,0.898070217472332,0.066850772682283,0.0866584090325891,0.7475478141822254,1.804589946337984,1.8902960651614231,2.061708302808303,1.8617273588869427,1.3317634288558076,1.1254338835401192,3.63890289011305,3.601388427328381,1.313006197463472,1.9132376020182036,3.32002995644335,3.226243799481674,1.1937637978979123
