,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DMDS),S (DMDS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.1032576011585935,1.925308384491575,1.9253083844915744,0.6601329875229386,0.6719210765858481,0.0,5.297567224871584,4.6786925490688285,4.80246748422938,4.827222471261491,74.99260768485011,3.315667960058392,1.2677553964929151,1.0727161047247744,3.1206286682902507,76.84548095664749,0.0,0.0975196458840703,0.0
45,2.275,0.9254890953250584,1.116533365370297,1.1832584668864494,0.749830457037935,0.7949330409199165,0.0,4.025405611466811,3.2676822022495275,3.622865050320129,3.954369041852689,56.62116877020421,6.809465107454547,1.865606878754668,1.305924815128268,6.529624075641347,55.59508498688915,0.0,0.0,0.0
46,2.325,0.7744604716463168,0.6814525140814183,0.745338687276551,0.8312847014723974,0.8204887962584708,0.0,2.493854104417192,2.8792679205543954,2.879267920554395,2.425839901569452,35.09945074233448,8.752534790709367,2.232789487425861,1.1610505334614478,6.698368462277576,36.9749939117722,0.0,0.0,0.0
47,2.375,0.746473493463204,0.5673483544279225,0.5714299972655338,0.8225183116056004,0.8069990981790797,0.0,1.911967094147356,1.998874689335872,1.955420891741614,1.9554208917416145,22.681565562457443,9.24380785186945,1.7974070823079489,2.567724403297069,8.6446721577668,21.140930920479214,0.0,0.0855908134432356,0.0
48,2.4250000000000003,0.7715578414834108,0.3523561900383969,0.3484411212601925,0.7393313398957871,0.6351302785681932,0.0,1.4796550708518403,1.604696344444954,1.7297376180380666,1.6046963444449538,13.792431390270655,11.165301601647682,1.7240539237838326,1.6419561178893642,10.75481257217534,14.285018225637463,0.3283912235778729,0.1641956117889364,0.0
49,2.475,0.7723503614121853,0.2630941131472176,0.308195961115312,0.6764175806985403,0.5859110029994398,0.0,1.340450050764571,1.480497070993705,1.4004702022913422,1.1603895961842547,8.984834804310685,11.42807935636009,2.9161305943815394,2.2856158712720167,10.797564633250566,8.117877060035097,0.0,0.3152573615547611,0.0
50,2.5250000000000004,0.7298343920059028,0.1805557467506765,0.2491669305159336,0.6224345215457749,0.5309000330831609,0.0192222425771489,1.0572233417431929,0.8265564308174053,1.0187788565888949,0.999556614011746,4.997783070058726,10.147014111937407,1.590203704109594,2.5746155209393424,12.343009703326846,6.133642858708437,0.0757239859099807,0.0757239859099807,0.0
51,2.575,0.7130649622275311,0.1666676809920634,0.173612167700066,0.5456891167035631,0.5500898353866563,0.0184830184689916,1.072015071201517,0.9241509234495834,0.9426339419185752,0.9611169603875668,3.4221588741072413,14.125506842059666,2.038732946276656,3.203723201291885,11.577090659213852,2.9852875284765306,0.0728118909384519,0.2912475637538078,0.0
52,2.625,0.7104891804392793,0.1637203262814896,0.1603790951328878,0.3980593475352594,0.4234673909949569,0.0,0.7825677385586803,0.7469964777151039,0.7114252168715277,0.960424042776562,3.3631010252108577,10.789949122551494,1.9618089313730016,2.452261164216252,12.541564239848814,2.101938140756788,0.2802584187675715,0.3503230234594645,0.0
53,2.6750000000000003,0.6751219255247549,0.1254823540635556,0.144787331611795,0.3873959780284656,0.3466174540254692,0.0513809402437754,0.8049680638191491,0.8220950439004076,0.7707141036566318,0.7878410837378906,1.8891578029024496,10.322897994431251,2.5638570182247524,2.0915675674991414,10.255428072899022,2.293977332095832,0.2024097645966911,0.2698796861289215,0.0
54,2.725,0.6522555558724731,0.1674275142925127,0.1333219095292231,0.3379441809312171,0.2711412614448136,0.0825212534832042,0.6271615264723521,0.8582210362253239,0.7922040334387604,0.7756997827421197,1.105284667865948,10.922813188322303,2.1455525905633093,1.2353181582031183,9.362411304276268,1.105284667865948,0.3901004710115109,0.3250837258429258,0.0
55,2.7750000000000004,0.6791588907920473,0.1016528268049788,0.1136119828996823,0.238723154351964,0.2766157185348155,0.0318297539135951,0.8116587247966782,0.6525099552287019,0.7957438478398804,0.6843397091422971,0.6896446681278958,9.905805233109776,1.94354406472407,1.5046792759154093,9.21616056498188,0.5642547284682784,0.3761698189788522,0.3134748491490435,0.0
56,2.825,0.7290980835483439,0.1067411186810248,0.0980864333825633,0.1828156967806881,0.2413167197505085,0.076782592647889,0.6910433338310009,0.6603302967718453,0.6603302967718453,0.6449737782422675,0.6654491362817047,10.163223172302398,1.9963474088451136,1.8148612807682851,9.497774036020694,0.3024768801280475,0.3629722561536571,0.604953760256095,0.0
57,2.875,0.7757785058688669,0.116987891465583,0.1058461875164798,0.247117279896775,0.2118148113400929,0.0889622207628389,0.6375625821336799,0.5930814717522602,0.63756258213368,0.6375625821336799,0.3504572333081534,9.520754838204844,2.336381555387688,2.0443338609642283,9.69598345485892,0.467276311077538,0.7009144666163069,0.2920476944234612,0.0
58,2.9250000000000003,0.8318938446113269,0.1210956283773724,0.1291686702691973,0.1841718128288829,0.1841718128288829,0.1145957946490828,0.4583831785963312,0.6016279219076847,0.6446013449010907,0.6302768705699554,0.3950082315555505,10.213784273079243,1.5800329262222013,2.7650576208888524,8.803040588952278,0.2821487368253931,0.451437978920629,0.451437978920629,0.0
59,2.975,0.8971134160298513,0.1352687410907638,0.1196608094264449,0.1945178980435934,0.2044086386220811,0.1107762944790634,0.5123403619656682,0.6231166564447317,0.5954225828249659,0.5538814723953169,0.1636467986622528,9.92790578551001,1.6910169195099447,2.6183487785960438,10.527944047271603,0.5454893288741761,0.5454893288741761,0.6545871946490113,0.0
60,3.0250000000000004,0.9701024308567654,0.1534784684851198,0.1358661852163355,0.2072738098979368,0.1785743592966839,0.1741100003142669,0.6294746165208113,0.575902308731806,0.6830469243098166,0.5625092317845548,0.2638030307791923,9.813472744985951,2.057663640077699,1.8993818216101843,8.863781834180863,0.0527606061558384,0.4748454554025463,0.5276060615583849,0.0177663265626803
61,3.075,1.045759231762816,0.1607024115866786,0.1801814917790034,0.1110949738441375,0.1851582897402291,0.1425718830999764,0.6480540140908018,0.5443653718362735,0.6998983352180659,0.5443653718362735,0.1531764033305531,8.57787858651098,2.195528447737929,2.042352044407376,10.467054227587797,0.2552940055509219,0.8679996188731347,0.6637644144323971,0.0
62,3.125,1.0885783840521368,0.1556011830594795,0.1768195262039541,0.1703167128593104,0.1105564627332366,0.2384433980030349,0.6651315839032023,0.6525819313767267,0.6902308889561533,0.5898336687443492,0.2966281506257849,9.393224769816513,1.8786449539633048,1.631454828441817,8.453902292834867,0.0988760502085949,0.8898844518773544,0.6426943263558671,0.0
63,3.1750000000000003,1.060314207941426,0.1941336224900407,0.1758622227262721,0.115785793374797,0.193941203902785,0.3525677408262572,0.5835603986089775,0.6565054484350996,0.680820465043807,0.6565054484350996,0.1915728581292096,9.147603975669762,2.77780644287354,2.634126799276632,9.387070048331276,0.0478932145323024,1.0536507197106526,0.8620778615814433,0.0483819208030402
64,3.225,0.9620521532378948,0.2501431264770532,0.2213655986522594,0.1486960567064152,0.1486960567064152,0.5302557493870277,0.6952242047518808,0.7659249713368179,0.7894918935317965,0.5773895937769855,0.0928393904650688,8.216286056158587,1.531849942673637,2.645922628254463,8.169866360926054,0.0464196952325344,0.8819742094181544,0.8819742094181544,0.0156311218640167
65,3.2750000000000004,0.8679728074277808,0.2618828470880431,0.2532965242326974,0.1387493160306131,0.1496316153271318,0.5598942988058863,0.7312905127260558,0.571320713067231,0.8112754125554681,0.571320713067231,0.0450131470901454,8.50748480003749,2.385696795777709,2.7458019724988723,9.002629418029093,0.2700788825408728,0.9452760888930548,0.9452760888930548,0.0
66,3.325,0.8213511094403578,0.3498614292446279,0.3019637335742323,0.1346078575887558,0.1715590341817476,0.897913591209701,0.6872918846296473,0.742718649519135,0.820316120364418,0.8203161203644183,0.1310087170115163,8.733914467434428,2.7075134849046703,3.013200491264875,8.646575322760086,0.1310087170115163,0.6987131573947536,0.6113740127204094,0.0294101201454424
67,3.375,0.8075029591166973,0.3618060301290618,0.4042525476302366,0.1332108395048209,0.1511430678997006,1.2480830962836305,0.8069502777695884,0.8607469629542275,1.0328963555450734,0.8499876259173,0.0,7.502192279385137,3.0517392322922583,2.882198163831577,8.561823957264396,0.0847705342303405,0.7629348080730646,0.7629348080730646,0.0428177698408352
68,3.4250000000000003,0.8179920120487614,0.4062746718855032,0.4631923795409602,0.1218874340773799,0.134324927350582,1.943233949005086,1.0656444236479503,1.034301940599481,1.1283293897448887,0.8253520536096871,0.1646271836889286,6.7908713271683006,2.4694077553339304,2.7575053267895555,7.819791225224104,0.1234703877666965,0.9877631021335722,0.8231359184446435,0.1108713686068295
69,3.475,0.8423904813894627,0.4804649349722384,0.560542424134278,0.1304873371274681,0.1329037692964953,1.8471207500043847,0.9743054505517632,0.9540074203319346,1.1163916620905618,1.0960936318707335,0.0799619372296269,6.756783695903482,2.918610708881385,2.63874392857769,6.796764664518292,0.0799619372296269,0.9995242153703372,0.9595432467555234,0.0942408545920603
70,3.5250000000000004,0.8654145547007129,0.6614864604185167,0.6318400084109639,0.1502955662214387,0.1455988297770188,1.9824924531896635,1.1046724117275732,1.3019353423932118,1.144124997860701,1.0257672394613182,0.0388548196765651,6.294480787603547,3.302659672508029,3.496933770890857,6.721883804045764,0.0777096393531302,1.0102253115906927,0.8936608525609974,0.1831727213323784
71,3.575,0.8987545048363892,0.8052423710244163,0.7764193778781283,0.146120961591437,0.1529703816660357,2.483599719049458,1.256183641681388,1.332897146516892,1.2849512059947017,1.2082377011591967,0.0755511790046635,6.535176983903392,3.5131298237168536,2.8709448021772133,6.04409432037308,0.0755511790046635,1.0199409165629576,1.0954920955676206,0.178084921939564
72,3.625,0.9381712999264664,1.021465998758368,0.9391179679836804,0.1798679690196725,0.1820885612297919,2.909864032140478,1.305708219550215,1.1191784739001838,1.501564452482747,1.4549320160702397,0.0734814149530423,6.025476026149472,2.8657751831686493,3.3801450878399457,5.547846828954697,0.1102221224295635,0.9919991018660712,0.8450362719599864,0.3464123847786284
73,3.675,0.9760972169868296,1.1387629891826212,1.1114872289626785,0.1598829131573766,0.1231530547293306,3.2577223845769256,1.6606217169291877,1.5063563115313932,1.488207440308124,1.3248675992986956,0.178738883259475,5.326418721132352,3.324543228626232,3.0385610154110725,5.183427614524772,0.07149555330379,1.0009377462530595,0.9651899696011648,0.3490879822026889
74,3.725,1.0005006344446603,1.3871565279845774,1.3174668459566443,0.1577225927633761,0.1577225927633761,3.3651692391993944,1.7753255041445608,1.616341130639079,1.5545138742758344,1.236545127264867,0.104383679574307,5.323567658289664,4.070963503397979,3.3402777463778275,5.323567658289664,0.0695891197162047,1.0438367957430703,0.869863996452559,0.4452283475720445
75,3.775,1.00295254599807,1.699627487685722,1.6689307935164923,0.1371912018953273,0.1576675006856746,3.870020471375645,1.849009780768364,1.7200090983891765,1.8146095988005817,1.522208052074422,0.1016369012684513,4.539781589990825,3.7266863798432177,2.981349103874573,4.099355017827538,0.0338789670894837,1.0163690126845142,0.8808531443265787,0.8442085472706057
76,3.825,0.9962121746862668,2.0189978693326114,1.9686409466368648,0.1775058467826051,0.1775058467826051,4.037559957603438,1.8009862881426124,1.9182598138821307,1.9350131747020625,1.97689657675189,0.065998088078517,4.256876681064356,3.992884328750288,3.0359120516117883,3.893887196632511,0.0989971321177756,1.1549665413740489,1.3529608056096,0.7889465324896207
77,3.875,0.9927266974337824,2.442556418551923,2.45328956037858,0.1632381130559594,0.1748979782742422,4.20338141119095,1.730323998393169,1.9588573566715104,2.2526859601722378,1.942533545365915,0.1929177699752247,3.5689787445416554,3.826202437841956,3.118837281266131,3.858355399504491,0.0964588849876123,0.996741811538661,0.932435888213586,1.0393936994583524
78,3.925,1.0035468739918878,2.9949583651781344,2.7468729916154757,0.1742586524393528,0.1704704208645842,5.035696232339818,2.155882589200776,2.195659020735845,2.235435452270915,2.179748448121817,0.1253560266559771,3.4159517263753743,4.199426892975231,3.760680799679311,3.102561659735429,0.0626780133279885,1.53561132653572,1.4102552998797429,1.3613280751900387
79,3.975,1.015560064631521,3.395112708029496,3.2931136137968484,0.1865233043984322,0.1717491812777642,5.064938758842972,2.4044885378886978,2.1717960987381795,2.30365514759014,2.3114115622284905,0.3055557281774496,2.3527791069663637,3.483335301222924,3.819446602218119,2.505556971055088,0.1222222912709798,1.527778640887249,1.313889631163034,1.9137765913808031
80,4.025,1.02277812852086,3.605465799757188,3.530144677413029,0.1801168590163726,0.1657075102950629,5.3408251035534775,2.133304078189916,2.541809114439049,2.360251320550545,2.3148618720784198,0.1490057651862718,2.2350864777940767,3.933752200917578,3.963553353954831,2.264887630831332,0.1192046121490175,1.1622449684529208,1.3112507336391928,2.5288407005898708
81,4.075,1.0164903863939063,3.571605238491653,3.353925881953149,0.2003253433028818,0.1581515868180645,6.0224124260318925,2.546240547770836,2.5388601403859936,2.804554806240341,2.5610013625405226,0.2616689890989793,2.093351912791833,4.012257832851011,3.634291515263597,2.064277580669723,0.145371660610544,1.2501962812506775,1.6572369309602004,2.9371008980497693
82,4.125,1.0053462697669788,2.9118386831618084,2.8631276271237858,0.2006431593947126,0.1783494750175223,6.475114882415014,2.7513836319049325,2.9674608804838547,2.909840280862809,2.7873965066680872,0.2553640210478162,1.645679246752594,3.830460315717247,3.773712755484399,1.191698764889809,0.1986164608149682,1.9010432678004103,1.5038103461704733,3.2771716034469773
83,4.175,0.995400916622402,2.3669992608441435,2.1279217685378997,0.182473611090962,0.1724291921318264,6.412357063512116,2.9600902672572373,3.227271811570242,2.8264994951007374,2.735095282572604,0.1938877235445253,1.5511017883562022,4.182435179317615,3.850056224669858,1.5511017883562026,0.1384912311032323,1.3572140648116775,1.4680070496942623,3.833380749904365
84,4.2250000000000005,0.9917551037449052,1.701236013496712,1.6315872305332384,0.2076045869611301,0.2108739505353211,7.22954367160862,3.089548577610521,3.219996184220743,2.945369643988698,2.7050714212856555,0.2434189788420409,1.298234553824219,3.624238129425946,3.48900536340259,0.9195828089588218,0.1622793192280273,1.7309794050989589,2.136677703169028,3.7705103049205926
85,4.275,0.9918474614995528,1.2068869395988056,1.220744722830107,0.194793455131435,0.2363068144217409,7.631432771690235,3.0244078910652847,2.930523832362593,3.245706029435916,3.218882012663717,0.1320879613782459,0.9510333219233708,3.909803656796084,3.5663749572126444,0.7396925837181774,0.422681476410387,1.5586379442633025,1.6378907210902498,3.949699612477674
86,4.325,0.998678472028893,0.8332779226174011,0.8025069505857392,0.2651939303886223,0.2261948229785307,7.141516548935968,2.738673318766269,2.93522882011313,3.144888021549784,2.9810917704273976,0.2581031835867877,0.7484992324016843,4.413564439334073,4.336133484258037,0.5678270038909329,0.2839135019454664,2.0906357870529817,1.6776706933141206,3.406962023345595
87,4.375,1.0086589890124684,0.6399249717298755,0.6411278382180897,0.2164807190437096,0.2622160822219581,6.639860026218124,2.708448207415875,2.970969192059023,2.772477715865425,2.77888066671038,0.2774612032813743,0.5296986608098964,4.464602998254837,4.010575574703499,0.5296986608098964,0.3531324405399308,1.891780931463913,1.9674521687224693,2.8963552138453674
88,4.425,1.0160543168785925,0.526774945089554,0.5185440865725296,0.2220479748752853,0.2503628173090466,6.284106714457064,2.434778398330477,2.509887243523192,2.1593792992905265,2.484850961792288,0.3451972178048973,0.4438249943205823,3.920454116498473,3.969768004756315,0.3945111060627398,0.3451972178048973,2.02186941857154,1.8246138655401705,2.3829175290307463
89,4.4750000000000005,1.0228183930730457,0.4817277813700387,0.4173441160795325,0.2608279648156865,0.2826850568393476,4.963308456732918,2.190954904451768,2.374554477450519,2.166474961385268,2.1909549044517687,0.2893084180586386,0.2893084180586386,4.291408201203143,3.929772678629844,0.6268349057937171,0.4098535922497381,1.880504717381153,1.5911962993225144,1.8834568440960373
90,4.525,1.0327745268806403,0.4610208192907618,0.402549886112421,0.2935738400408139,0.266496641202098,3.878594966286789,1.9033845667888871,2.0470362322069167,1.9871813716160696,1.8914135946707171,0.235791875054846,0.5423213126261461,4.032041063437864,4.1027786259543175,0.5187421251206615,0.4244253750987231,2.4286563130649133,2.145706062999097,1.437127418063875
91,4.575,1.0408073381431655,0.4707989838521109,0.4531990218389479,0.2746448284663967,0.2955568712430259,3.1209132639841406,1.6687810135750083,1.6746363855524653,1.7331901053270264,1.8327314289437808,0.369065870094207,0.6689318895457503,4.175057655440718,4.474923674892258,0.5997320389030865,0.4151991038559828,2.283595071207904,2.3297283049696804,1.0641242338621866
92,4.625,1.0458949874316863,0.442376843319221,0.4725144384845205,0.3069350841991864,0.3383106705839921,2.1943812286347173,1.4610110007881276,1.6844597420851353,1.7073775617053413,1.655812467559878,0.3836998587928418,0.5191233383667859,4.288410186508238,3.859569167857415,0.4965527584377953,0.4514115985798139,1.805646394319257,2.7987519111948496,0.9424368680554084
93,4.675,1.052780106652925,0.5003852585007639,0.4519268966249004,0.3391236403168012,0.3324479781058405,1.7495575522485658,1.4860024081598406,1.486002408159841,1.4860024081598393,1.429926845587771,0.4638978358234837,0.728982313436903,3.799544179125676,4.285532388083611,0.3755363432856773,0.6406208208990966,2.5183025373274828,2.297398805982967,0.5876490077705651
94,4.7250000000000005,1.055849876475876,0.4568507216203322,0.4867574280017984,0.3280633854243822,0.3725022503822667,1.3284606571527582,1.515103889975873,1.432761287259792,1.5370619173668283,1.4217822735643155,0.4541319301311078,0.6487599001872969,3.3519261509677007,3.806058081098808,0.4541319301311078,0.4541319301311078,1.794902390518188,2.530163610730458,0.6408159014094933
95,4.775,1.0617138309523435,0.49984200073299,0.4978224370936648,0.3800996313266251,0.3250683715722652,1.0266529436034295,1.3706623069051016,1.5641675737622935,1.5319166959527604,1.4889155255400517,0.6352445629150201,0.444671194040514,3.8538170150177873,3.896166652545455,0.5293704690958501,0.74111865673419,2.1174818763834,2.2445307889664035,0.4206874707467839
96,4.825,1.063445991148117,0.5429403143471344,0.5310727664925522,0.3559684744757826,0.3685025756897183,0.8370272790666465,1.4792746252687277,1.4213670776603429,1.4687459802490208,1.5529751404066716,0.5184560047582618,0.7880531272325584,3.318118430452878,3.42180963140453,0.6843619262809059,0.7673148870422276,2.322682901317015,2.4471123424589973,0.4050305277989031
97,4.875,1.0663784569595405,0.5696427131477135,0.5783617342673216,0.4236017708781402,0.4383357455173798,0.7425923218176792,1.2118694140774622,1.5419104459964317,1.5315966637489633,1.5264397726252297,0.7516559486412117,0.5688207178906464,3.43323933298283,3.3926092817049267,0.4266155384179848,0.7922859999191151,2.519063179230008,2.458118102313153,0.4172872103184661
98,4.925000000000001,1.0652971899115171,0.6131893248219114,0.6188845817088022,0.4294807821627155,0.4114353711474753,0.5456932291008624,1.364233072752156,1.3945493632577592,1.490550949858837,1.5410781007015093,0.716566866496081,0.8359946775787614,3.6027389676608554,3.702262143563088,0.7165668664960811,0.8160900423983145,2.48807939755584,2.468174762375394,0.3954522928196914
99,4.9750000000000005,1.068536899042985,0.6837160590661785,0.6660417663828353,0.4597973886042721,0.4432918413210418,0.4406981124622483,1.4211276210861257,1.3914176359763109,1.5548225540802902,1.5350158973404144,0.7217425675667049,0.5851966764054362,2.86746371438664,2.984503049667726,0.5266770087648927,0.7607556793270672,2.262760482101023,2.6138784879442856,0.5977366051855533
