,r ($\AA$),g_full(r),O (DOL),O (DOL),O (G3),O (G3),O (G3),O (G3),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,0.9371410454642428,0.3604420527169146,0.3070432300921866,5.607142041380658,5.49224158971302,6.043763757717673,5.561181860713599,0.0,0.8053637812273092,0.4263690606497521,0.8053637812273094,0.7343022711190175,28.36718060080508,1.306383317142338,0.0933130940815955,0.1866261881631911,1.7729487875503165,30.793321046926565,0.0,0.0,0.0
46,2.325,0.8179630320224832,0.2598949864684929,0.2045075303358632,4.323464701494095,4.455478890852693,4.73050845201644,4.334465883940647,0.0,0.2494729680956074,0.3855491325113934,0.4082284932473576,0.5896633791350722,16.796472011726294,2.680288086977601,0.1786858724651734,0.0893429362325867,3.395031576838295,18.136616055215093,0.0,0.0,0.0
47,2.375,0.8105205492842099,0.1469907315654541,0.1429076556886359,3.542403501010249,3.6162035739479617,3.468603428072534,3.5213177658851857,0.0,0.2608143237007545,0.4129560125261946,0.2608143237007545,0.4346905395012576,8.305223792592207,3.167971962122801,0.0,0.2568625915234703,2.568625915234704,11.473195754715013,0.0,0.0,0.0
48,2.4250000000000003,0.8147819022797538,0.1174933000291151,0.1135768566948113,2.598940105768404,2.8011922540772307,2.73040400216914,2.851755291154436,0.0,0.2710178787338255,0.2501703496004543,0.3127129370005679,0.1667802330669696,5.338230944757171,3.038685307015621,0.0821266299193411,0.1642532598386822,4.270584755805738,6.488003763627943,0.0,0.0,0.0
49,2.475,0.8498068301400096,0.1015147866242577,0.1165540142722959,2.1552111083975936,2.135794792105723,2.4173313783378405,2.446455852775645,0.0,0.1000687070427156,0.1400961898598019,0.1801236726768882,0.2001374140854313,4.415152650127093,4.493994661736505,0.1576840232188247,0.1576840232188247,2.9959964411576685,4.178626615298856,0.0,0.0,0.0
50,2.5250000000000004,0.9164059814280984,0.0794724210461388,0.0577981243971918,1.893481651777036,1.8188616852045407,1.9028091475985984,2.070704072386709,0.0,0.2115189052458772,0.1538319310879106,0.1730609224738995,0.0769159655439553,1.7422631589123223,4.166281466964247,0.227251716379868,0.3787528606331135,3.939029750584378,1.9695148752921907,0.0,0.0,0.0
51,2.575,0.9716620166921864,0.0625223238636772,0.0590488614268062,1.5785072280275647,1.4798505262758417,1.542632063754211,1.7758206315310106,0.0,0.0554685232226469,0.2033845851497055,0.0739580309635292,0.1294265541861762,1.7480989136834182,4.807272012629396,0.3641872736840456,0.2185123642104273,4.734434557892589,1.820936368420227,0.0,0.0728374547368091,0.0
52,2.625,0.9825742677621354,0.0300816381051686,0.0501360635086144,1.458535411742647,1.3808619282770624,1.3549707671218676,1.7778597326567172,0.0,0.0533756245353249,0.1245431239157581,0.0711674993804332,0.1067512490706498,0.6308028354174762,4.205352236116512,0.560713631482201,0.4205352236116508,4.415619847922336,0.7008920393527512,0.0,0.0,0.0
53,2.6750000000000003,0.9250737205702736,0.0386235108096175,0.041842136710419,1.412832652874198,1.2466170466537037,1.3214140694529253,1.279860167897802,0.0,0.1199309527960177,0.1199309527960177,0.1199309527960177,0.0513989797697218,0.8099233175834961,5.399488783889975,0.2699744391944987,0.404961658791748,4.319591027111979,0.6074424881876221,0.0674936097986246,0.0674936097986246,0.0
54,2.725,0.8525295562052613,0.0310159809338819,0.0372191771206583,1.2413336249881253,1.129213168537585,1.1051873564410408,1.0170927120870452,0.0,0.1485904071201666,0.0990602714134444,0.1485904071201666,0.1485904071201666,0.1300791442802805,5.463324059771785,0.1951187164204209,0.2601582885605611,4.682849194090103,0.2601582885605611,0.0,0.0650395721401402,0.0
55,2.7750000000000004,0.8059629739428391,0.0328992259184075,0.0299083871985523,1.03483019706991,1.1738372384673603,1.0657206507137875,1.073443264124757,0.0159204645703063,0.0636818582812252,0.0796023228515315,0.0955227874218378,0.159204645703063,0.313584908203003,5.268226457810447,0.3763018898436036,0.1881509449218018,5.707245329294649,0.2508679265624023,0.0,0.0627169816406005,0.0
56,2.825,0.781655500151108,0.049060435457147,0.0346308956168096,0.9910724841382756,1.087944230708182,0.9687174656990668,0.9761691385121364,0.0153619101069437,0.0614476404277751,0.0921714606416626,0.1689810111763816,0.0921714606416626,0.363099693436853,4.115129858951004,0.3025830778640442,0.363099693436853,5.809595094989651,0.1815498467184265,0.0605166155728088,0.0,0.0
57,2.875,0.7717499057596884,0.0306504432616195,0.044582462925992,0.8273956155901218,1.129574883892602,0.8921483159406535,0.8633693380070842,0.0,0.0593289698938201,0.0444967274203651,0.0741612123672752,0.1186579397876403,0.0584300461075501,4.674403688604016,0.2921502305377509,0.0584300461075501,5.843004610755017,0.0584300461075501,0.0,0.0,0.0
58,2.9250000000000003,0.7821101953486858,0.0403793814310638,0.0376874226689929,0.9175159744873383,0.8966633387035354,0.7924001597845194,0.8271545527575246,0.0,0.0573180142570178,0.0573180142570178,0.1432950356425446,0.0429885106927633,0.1128991189910957,4.741762997626027,0.2257982379821915,0.3951469164688353,6.209451544510274,0.0564495594955478,0.1128991189910957,0.0564495594955478,0.0
59,2.975,0.8141281735830852,0.0338290582743968,0.0260223525187667,0.8264621481296089,1.081791917470463,0.7256740812845346,0.853338965954962,0.0,0.06925949208841,0.055407593670728,0.124667085759138,0.06925949208841,0.0545680846757169,5.238536128868835,0.4365446774057359,0.3274085080543019,4.420014858733079,0.0,0.0545680846757169,0.1091361693514339,0.0
60,3.0250000000000004,0.8574152873228834,0.0478215528270159,0.0478215528270159,0.7798707279566776,0.7993674961555948,0.7473761142918158,0.747376114291816,0.013397779172589,0.0669888958629453,0.0267955583451781,0.0535911166903562,0.013397779172589,0.1055582601476714,4.3278886660545295,0.3694539105168501,0.3694539105168501,4.961238226940557,0.0,0.0,0.2111165202953429,0.035545128417073
61,3.075,0.8963007101366944,0.0316646186597663,0.0267931388659561,0.6855335408349181,0.8238981087098552,0.5911940627383699,0.5974833612781398,0.0129656308358333,0.0518625233433332,0.129656308358333,0.0777937850149998,0.1944844625374996,0.1021534550702018,5.107672753510097,0.5107672753510092,0.2553836376755046,4.647982205694188,0.1532301826053027,0.1021534550702018,0.2553836376755046,0.0171993062107992
62,3.125,0.9146606420995724,0.0424515855434149,0.0330178998671004,0.578517254068014,0.8403724322251153,0.645503462433784,0.5846069093739928,0.0125540586307876,0.0878784104155136,0.0878784104155136,0.1255405863078766,0.1883108794618149,0.049455382484921,5.093904395946875,0.4450984423642897,0.1483661474547632,5.736824368250848,0.0,0.1483661474547632,0.049455382484921,0.0333066861633142
63,3.1750000000000003,0.9031623456429584,0.0571181710551835,0.0434098100019394,0.5191444991905152,0.5840375615893297,0.5191444991905153,0.5604400843533972,0.0364853301878649,0.0729706603757298,0.0972942138343064,0.1581030974807479,0.0972942138343064,0.0479100295396205,5.270103249358266,0.3353702067773441,0.4311902658565852,5.797113574294093,0.0479100295396205,0.0479100295396205,0.1916401181584823,0.0322659382613771
64,3.225,0.8766657084443519,0.0420742305579249,0.064218562430517,0.5031721021318533,0.4974542373349003,0.5317614261166177,0.5889400740861465,0.0589379909839758,0.0589379909839758,0.0943007855743614,0.0353627945903855,0.1060883837711565,0.0,4.922215247025376,0.5107959218611243,0.5107959218611243,5.24726719730064,0.0,0.0464359928964658,0.0928719857929316,0.0156366098528915
65,3.2750000000000004,0.8556139872833582,0.057978027851365,0.0558306934864996,0.4269349414085317,0.4657472088093072,0.4934702569527184,0.5600055724969052,0.0457217040149795,0.1257346860411938,0.102873834033704,0.0914434080299591,0.1371651120449387,0.0,5.763705718251968,0.7654921657053402,0.6304053129338096,4.953184601622785,0.0450289509238435,0.1350868527715306,0.0,0.0606512400198708
