num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,0,1,1,1O:1O,,,3S,,21,0.10608203677510608,Cluster_069_154.xyz
0,1,1,1,1,,1O,2O,1S,,21,0.10608203677510608,Cluster_014_191.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,20,0.10103051121438675,Cluster_066_150.xyz
0,0,2,1,1,,,1O:1O,1S,,18,0.09092746009294807,Cluster_006_070.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,16,0.0808244089715094,Cluster_010_172.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,15,0.07577288341079005,Cluster_066_049.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,15,0.07577288341079005,Cluster_011_022.xyz
0,1,3,0,1,,1O,1O:1O:2O,,,13,0.06566983228935139,Cluster_074_090.xyz
1,0,0,1,1,1O,,,3S,,13,0.06566983228935139,Cluster_099_173.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,13,0.06566983228935139,Cluster_029_032.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,13,0.06566983228935139,Cluster_000_145.xyz
0,0,2,1,1,,,1O:1O,2S,,12,0.06061830672863205,Cluster_037_017.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_089_053.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_029_076.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,10,0.050515255607193374,Cluster_055_131.xyz
2,0,0,0,1,1O:1O,,,,,10,0.050515255607193374,Cluster_093_067.xyz
1,1,3,0,1,1O,1O,1O:1O:1O,,,10,0.050515255607193374,Cluster_009_066.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,9,0.045463730046474034,Cluster_081_034.xyz
1,0,0,1,1,1O,,,1S,,9,0.045463730046474034,Cluster_007_018.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_079_056.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,8,0.0404122044857547,Cluster_028_103.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,8,0.0404122044857547,Cluster_095_090.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,8,0.0404122044857547,Cluster_051_071.xyz
0,0,3,0,1,,,1O:1O:2O,,,7,0.03536067892503536,Cluster_013_103.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_097_143.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,6,0.030309153364316024,Cluster_090_088.xyz
0,0,3,0,1,,,1O:1O:1O,,,6,0.030309153364316024,Cluster_079_100.xyz
1,1,0,1,1,1O,1O,,3S,,5,0.025257627803596687,Cluster_039_080.xyz
1,0,1,0,1,1O,,2O,,,5,0.025257627803596687,Cluster_033_194.xyz
0,1,2,0,1,,1O,2O:2O,,,5,0.025257627803596687,Cluster_059_090.xyz
0,2,1,0,1,,1O:1O,1O,,,5,0.025257627803596687,Cluster_092_034.xyz
