num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,2,0,1,1,,1O:1O,,3S,,20,0.10103051121438675,Cluster_005_163.xyz
1,0,0,1,1,1O,,,1S,,19,0.0959789856536674,Cluster_040_177.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,19,0.0959789856536674,Cluster_061_134.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,17,0.08587593453222873,Cluster_074_039.xyz
1,2,0,1,1,1O,1O:1O,,2S,,17,0.08587593453222873,Cluster_069_001.xyz
0,2,2,0,1,,1O:1O,1O:2O,,,16,0.0808244089715094,Cluster_003_014.xyz
0,1,2,0,1,,1O,1O:2O,,,16,0.0808244089715094,Cluster_059_042.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,15,0.07577288341079005,Cluster_100_064.xyz
2,1,1,0,1,1O:1O,1O,2O,,,15,0.07577288341079005,Cluster_091_166.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,14,0.07072135785007072,Cluster_074_134.xyz
0,1,0,1,1,,1O,,1S,,12,0.06061830672863205,Cluster_012_148.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_032_153.xyz
0,2,1,1,1,,1O:1O,1O,2S,,10,0.050515255607193374,Cluster_093_123.xyz
0,1,0,1,1,,1O,,2S,,10,0.050515255607193374,Cluster_090_096.xyz
0,2,0,0,1,,1O:1O,,,,9,0.045463730046474034,Cluster_099_052.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,9,0.045463730046474034,Cluster_005_193.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,8,0.0404122044857547,Cluster_001_127.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_095_033.xyz
2,0,1,0,1,1O:1O,,2O,,,8,0.0404122044857547,Cluster_087_025.xyz
1,1,0,1,1,1O,1O,,3S,,8,0.0404122044857547,Cluster_064_193.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_096_030.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,7,0.03536067892503536,Cluster_005_117.xyz
0,1,2,0,1,,1O,1O:1O,,,7,0.03536067892503536,Cluster_034_095.xyz
0,1,1,1,1,,1O,2O,2S,,6,0.030309153364316024,Cluster_005_018.xyz
0,2,3,0,1,,1O:1O,1O:1O:1O,,,6,0.030309153364316024,Cluster_012_079.xyz
