num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,5,0,1,,,1O:1O:1O:1O:1O,,,15,0.07577288341079005,Cluster_079_035.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,14,0.07072135785007072,Cluster_013_170.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_066_026.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_047_062.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,13,0.06566983228935139,Cluster_029_039.xyz
0,0,3,1,1,,,1O:1O:2O,1S,,13,0.06566983228935139,Cluster_061_073.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,13,0.06566983228935139,Cluster_001_011.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,12,0.06061830672863205,Cluster_067_123.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,9,0.045463730046474034,Cluster_080_063.xyz
2,0,3,0,1,1O:1O,,:1O:1O,,,9,0.045463730046474034,Cluster_037_188.xyz
0,0,3,0,1,,,1O:1O:2O,,,9,0.045463730046474034,Cluster_031_000.xyz
0,0,2,1,1,,,2O:2O,1S,,8,0.0404122044857547,Cluster_041_131.xyz
1,0,2,0,1,1O,,1O:1O,,,8,0.0404122044857547,Cluster_012_042.xyz
1,0,0,1,1,1O,,,3S,,8,0.0404122044857547,Cluster_028_130.xyz
2,0,1,1,1,1O:1O,,2O,2S,,8,0.0404122044857547,Cluster_091_133.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_093_026.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_038_039.xyz
1,0,5,0,1,1O,,1O:1O:1O:1O:1O,,,7,0.03536067892503536,Cluster_091_035.xyz
0,0,2,1,1,,,1O:1O,3S,,7,0.03536067892503536,Cluster_024_153.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_095_015.xyz
4,0,0,1,1,1O:1O:1O:1O,,,1S,,6,0.030309153364316024,Cluster_035_081.xyz
2,0,1,1,1,1O:2O,,1O,1S,,5,0.025257627803596687,Cluster_068_160.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_033_039.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_025_024.xyz
1,0,3,0,1,1O,,:1O:2O,,,5,0.025257627803596687,Cluster_069_185.xyz
0,0,3,0,1,,,1O:2O:2O,,,5,0.025257627803596687,Cluster_029_083.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,5,0.025257627803596687,Cluster_047_010.xyz
2,0,2,1,1,1O:1O,,1O:1O,2S,,5,0.025257627803596687,Cluster_080_034.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,5,0.025257627803596687,Cluster_071_026.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_069_039.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,4,0.02020610224287735,Cluster_048_018.xyz
