num_dol,num_tegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_tegdme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,0,9,1,,3O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_081_023.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,10,0.050515255607193374,Cluster_016_116.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,9,0.045463730046474034,Cluster_013_181.xyz
1,2,0,0,1,1O,2O:2O,,,,9,0.045463730046474034,Cluster_067_145.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,8,0.0404122044857547,Cluster_048_092.xyz
0,1,2,0,1,,2O,1O:1O,,,8,0.0404122044857547,Cluster_027_030.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,7,0.03536067892503536,Cluster_010_140.xyz
0,1,0,9,1,,2O,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_034_157.xyz
1,1,1,0,1,1O,3O,2O,,,7,0.03536067892503536,Cluster_075_184.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_037_140.xyz
0,2,1,0,1,,2O:2O,1O,,,7,0.03536067892503536,Cluster_082_193.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,7,0.03536067892503536,Cluster_068_140.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_071_050.xyz
2,0,0,1,1,1O:1O,,,3S,,6,0.030309153364316024,Cluster_073_181.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_083_166.xyz
1,1,0,1,1,1O,1O,,2S,,6,0.030309153364316024,Cluster_054_024.xyz
0,1,0,0,1,,3O,,,,6,0.030309153364316024,Cluster_100_174.xyz
1,1,1,1,1,1O,1O,1O,1S,,5,0.025257627803596687,Cluster_003_015.xyz
0,1,0,9,1,,2O,,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_024_023.xyz
1,0,0,9,1,1O,,,:::1S:1S:1S:1S:2S:3S,,5,0.025257627803596687,Cluster_019_181.xyz
2,1,1,0,1,1O:1O,2O,1O,,,5,0.025257627803596687,Cluster_022_024.xyz
2,1,0,0,1,:1O,3O,,,,5,0.025257627803596687,Cluster_097_180.xyz
2,1,1,0,1,1O:1O,1O,1O,,,5,0.025257627803596687,Cluster_058_061.xyz
2,0,0,9,1,1O:1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_026_140.xyz
0,2,0,1,1,,1O:3O,,1S,,5,0.025257627803596687,Cluster_018_082.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_086_032.xyz
