num_tfmtms,num_tfsi,num_dol,num_ps,num_li,atoms_tfmtms,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%,cluster
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,13,0.06566983228935139,Cluster_077_043.xyz
0,1,0,9,1,,1O,,::::1S:1S:1S:1S:2S,,12,0.06061830672863205,Cluster_099_043.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,12,0.06061830672863205,Cluster_054_072.xyz
0,1,0,9,1,,1O,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_069_001.xyz
0,0,1,9,1,,,1O,::::1S:1S:1S:1S:2S,,12,0.06061830672863205,Cluster_008_015.xyz
0,1,0,9,1,,1O,,::::1S:1S:2S:2S:2S,,12,0.06061830672863205,Cluster_065_043.xyz
0,0,1,9,1,,,1O,2S:2S:2S:2S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_041_180.xyz
0,1,0,1,1,,1O,,2S,,11,0.05556678116791271,Cluster_004_046.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,10,0.050515255607193374,Cluster_036_003.xyz
0,4,2,0,1,,1O:1O:1O:1O,1O:1O,,,10,0.050515255607193374,Cluster_071_061.xyz
0,3,1,1,1,,1O:1O:1O,1O,1S,,9,0.045463730046474034,Cluster_001_195.xyz
0,1,3,0,1,,1O,1O:1O:2O,,,9,0.045463730046474034,Cluster_085_081.xyz
0,0,1,9,1,,,1O,::::1S:1S:2S:2S:2S,,9,0.045463730046474034,Cluster_079_015.xyz
0,1,1,9,1,,1O,1O,1S:1S:2S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_067_186.xyz
0,3,0,0,1,,1O:2O:2O,,,,8,0.0404122044857547,Cluster_028_130.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_067_164.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_031_027.xyz
0,3,2,0,1,,:1O:1O,1O:1O,,,8,0.0404122044857547,Cluster_100_076.xyz
0,3,0,0,1,,1O:1O:2O,,,,7,0.03536067892503536,Cluster_055_075.xyz
0,0,1,9,1,,,1O,1S:1S:2S:3S:3S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_040_181.xyz
0,2,0,1,1,,1O:1O,,2S,,7,0.03536067892503536,Cluster_071_023.xyz
