num_dol,num_dmds,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmds,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,2,1,1,,,1O:1O,1S,,13,0.06566983228935139,Cluster_082_018.xyz
2,0,1,1,1,1O:1O,,2O,1S,,12,0.06061830672863205,Cluster_078_041.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,12,0.06061830672863205,Cluster_071_113.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,12,0.06061830672863205,Cluster_080_060.xyz
1,1,0,1,1,1O,2S,,1S,,11,0.05556678116791271,Cluster_018_180.xyz
1,1,2,0,1,1O,2S,1O:1O,,,11,0.05556678116791271,Cluster_088_177.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_074_113.xyz
1,0,0,1,1,1O,,,3S,,10,0.050515255607193374,Cluster_020_145.xyz
0,0,1,1,1,,,1O,3S,,10,0.050515255607193374,Cluster_007_074.xyz
0,1,1,1,1,,1S,1O,1S,,10,0.050515255607193374,Cluster_083_189.xyz
0,0,2,1,1,,,1O:1O,2S,,9,0.045463730046474034,Cluster_071_050.xyz
2,0,0,1,1,1O:2O,,,1S,,8,0.0404122044857547,Cluster_053_104.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,8,0.0404122044857547,Cluster_082_024.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_089_037.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,8,0.0404122044857547,Cluster_021_089.xyz
3,1,1,0,1,1O:1O:1O,1S,1O,,,7,0.03536067892503536,Cluster_023_080.xyz
2,1,0,1,1,1O:1O,2S,,1S,,7,0.03536067892503536,Cluster_050_008.xyz
0,0,1,1,1,,,1O,1S,,6,0.030309153364316024,Cluster_017_131.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,6,0.030309153364316024,Cluster_054_079.xyz
1,1,0,1,1,1O,1S,,2S,,5,0.025257627803596687,Cluster_010_165.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_056_033.xyz
2,0,1,1,1,:1O,,1O,1S,,5,0.025257627803596687,Cluster_005_090.xyz
0,1,0,1,1,,1S,,2S,,5,0.025257627803596687,Cluster_054_131.xyz
2,1,1,0,1,1O:1O,1S,2O,,,5,0.025257627803596687,Cluster_040_059.xyz
2,2,0,0,1,1O:1O,1S:1S,,,,5,0.025257627803596687,Cluster_046_192.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_023_022.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:2S:3S:3S:3S,,4,0.02020610224287735,Cluster_038_113.xyz
1,1,1,1,1,1O,2S,1O,1S,,4,0.02020610224287735,Cluster_029_175.xyz
0,0,1,1,1,,,2O,1S,,4,0.02020610224287735,Cluster_027_175.xyz
