num_dol,num_methf,num_tfsi,num_ps,num_li,atoms_dol,atoms_methf,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,2,0,1,1O:1O:1O,,1O:1O,,,18,0.09092746009294807,Cluster_079_132.xyz
1,2,1,0,1,1O,1O:1O,2O,,,18,0.09092746009294807,Cluster_006_150.xyz
2,0,1,1,1,1O:1O,,1O,2S,,18,0.09092746009294807,Cluster_036_039.xyz
1,1,0,1,1,1O,1O,,3S,,17,0.08587593453222873,Cluster_038_151.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_038_016.xyz
0,0,2,1,1,,,1O:2O,1S,,14,0.07072135785007072,Cluster_064_128.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,14,0.07072135785007072,Cluster_076_045.xyz
0,1,1,0,1,,1O,1O,,,13,0.06566983228935139,Cluster_049_046.xyz
2,0,0,0,1,1O:1O,,,,,13,0.06566983228935139,Cluster_063_152.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,13,0.06566983228935139,Cluster_062_087.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_028_014.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_048_108.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_052_014.xyz
0,1,0,1,1,,1O,,1S,,11,0.05556678116791271,Cluster_002_195.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,11,0.05556678116791271,Cluster_065_071.xyz
0,0,2,1,1,,,1O:1O,1S,,10,0.050515255607193374,Cluster_063_128.xyz
1,0,2,0,1,1O,,1O:2O,,,10,0.050515255607193374,Cluster_089_071.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,10,0.050515255607193374,Cluster_068_083.xyz
0,0,1,1,1,,,2O,1S,,10,0.050515255607193374,Cluster_030_173.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_024_089.xyz
2,1,0,1,1,1O:1O,1O,,2S,,9,0.045463730046474034,Cluster_077_162.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_077_079.xyz
