num_dol,num_des,num_tfsi,num_ps,num_li,atoms_dol,atoms_des,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,1,0,1,1,1O:1O,1O,,2S,,18,0.09092746009294807,Cluster_024_092.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,17,0.08587593453222873,Cluster_030_037.xyz
1,0,1,1,1,1O,,1O,2S,,17,0.08587593453222873,Cluster_051_062.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,16,0.0808244089715094,Cluster_096_047.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,15,0.07577288341079005,Cluster_036_044.xyz
1,0,1,1,1,1O,,2O,1S,,15,0.07577288341079005,Cluster_050_073.xyz
1,0,2,1,1,1O,,1O:1O,1S,,15,0.07577288341079005,Cluster_052_052.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_077_110.xyz
1,1,2,0,1,1O,1O,1O:2O,,,14,0.07072135785007072,Cluster_022_042.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,13,0.06566983228935139,Cluster_085_112.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,13,0.06566983228935139,Cluster_024_064.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,13,0.06566983228935139,Cluster_092_170.xyz
2,0,1,0,1,1O:1O,,2O,,,12,0.06061830672863205,Cluster_034_141.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,12,0.06061830672863205,Cluster_046_148.xyz
0,2,1,0,1,,1O:1O,2O,,,11,0.05556678116791271,Cluster_090_131.xyz
2,2,0,0,1,1O:2O,1O:1O,,,,10,0.050515255607193374,Cluster_033_001.xyz
1,4,0,0,1,1O,:1O:1O:1O,,,,9,0.045463730046474034,Cluster_064_050.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,9,0.045463730046474034,Cluster_025_064.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,9,0.045463730046474034,Cluster_045_127.xyz
1,1,1,1,1,1O,1O,1O,2S,,9,0.045463730046474034,Cluster_092_072.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_035_075.xyz
1,1,0,1,1,1O,1O,,3S,,8,0.0404122044857547,Cluster_012_092.xyz
1,0,2,0,1,1O,,1O:1O,,,8,0.0404122044857547,Cluster_092_122.xyz
0,1,1,1,1,,1O,2O,1S,,7,0.03536067892503536,Cluster_071_052.xyz
1,3,0,0,1,1O,1O:1O:2O,,,,6,0.030309153364316024,Cluster_011_100.xyz
2,2,0,0,1,1O:1O,1O:2O,,,,6,0.030309153364316024,Cluster_087_039.xyz
1,3,0,1,1,1O,1O:1O:1O,,1S,,5,0.025257627803596687,Cluster_002_053.xyz
1,0,2,0,1,1O,,1O:2O,,,5,0.025257627803596687,Cluster_011_164.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_098_188.xyz
2,0,1,1,1,1O:1O,,1O,2S,,5,0.025257627803596687,Cluster_077_120.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,5,0.025257627803596687,Cluster_087_122.xyz
4,1,0,0,1,1O:1O:1O:1O,1O,,,,5,0.025257627803596687,Cluster_060_042.xyz
1,0,1,0,1,1O,,2O,,,5,0.025257627803596687,Cluster_043_156.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_084_110.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,5,0.025257627803596687,Cluster_066_179.xyz
0,1,2,0,1,,1O,1O:1O,,,5,0.025257627803596687,Cluster_010_020.xyz
3,0,0,1,1,:1O:1O,,,1S,,4,0.02020610224287735,Cluster_079_188.xyz
2,3,0,0,1,:1O,1O:1O:1O,,,,4,0.02020610224287735,Cluster_057_173.xyz
