num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,4,0,1,,,1O:1O:1O:1O,,,12,0.06061830672863205,Cluster_010_095.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,11,0.05556678116791271,Cluster_035_058.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_078_059.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,11,0.05556678116791271,Cluster_020_103.xyz
0,0,3,0,1,,,1O:1O:2O,,,10,0.050515255607193374,Cluster_044_148.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,10,0.050515255607193374,Cluster_015_153.xyz
0,0,1,1,1,,,1O,2S,,10,0.050515255607193374,Cluster_003_179.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,10,0.050515255607193374,Cluster_097_079.xyz
0,0,2,1,1,,,1O:2O,2S,,9,0.045463730046474034,Cluster_047_043.xyz
0,0,1,1,1,,,1O,3S,,9,0.045463730046474034,Cluster_009_179.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_053_033.xyz
0,0,2,1,1,,,1O:1O,2S,,9,0.045463730046474034,Cluster_062_175.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,8,0.0404122044857547,Cluster_099_173.xyz
1,0,0,17,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_044_182.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_084_125.xyz
