num_dol,num_tfpg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfpg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,1,0,1,1O,1O,2O,,,17,0.08587593453222873,Cluster_065_093.xyz
1,0,2,0,1,1O,,1O:1O,,,17,0.08587593453222873,Cluster_064_149.xyz
0,1,0,1,1,,1O,,2S,,14,0.07072135785007072,Cluster_027_150.xyz
2,1,0,0,1,1O:1O,1O,,,,13,0.06566983228935139,Cluster_003_061.xyz
1,2,1,0,1,1O,1O:2O,1O,,,13,0.06566983228935139,Cluster_060_079.xyz
3,0,0,0,1,1O:1O:1O,,,,,13,0.06566983228935139,Cluster_049_081.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,12,0.06061830672863205,Cluster_075_005.xyz
0,1,2,0,1,,1O,1O:2O,,,12,0.06061830672863205,Cluster_039_089.xyz
0,3,0,0,1,,1O:1O:2O,,,,12,0.06061830672863205,Cluster_083_189.xyz
1,1,1,0,1,1O,1O,1O,,,12,0.06061830672863205,Cluster_041_180.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,10,0.050515255607193374,Cluster_021_105.xyz
1,0,0,1,1,1O,,,3S,,10,0.050515255607193374,Cluster_063_108.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,9,0.045463730046474034,Cluster_096_132.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_057_187.xyz
0,2,0,1,1,,1O:1O,,1S,,8,0.0404122044857547,Cluster_037_022.xyz
0,2,1,0,1,,1O:2O,2O,,,7,0.03536067892503536,Cluster_070_027.xyz
1,0,0,1,1,1O,,,1S,,7,0.03536067892503536,Cluster_075_108.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,7,0.03536067892503536,Cluster_030_091.xyz
1,1,2,0,1,1O,1O,1O:2O,,,7,0.03536067892503536,Cluster_035_170.xyz
0,1,1,1,1,,2O,2O,1S,,6,0.030309153364316024,Cluster_035_171.xyz
0,0,1,9,1,,,1O,::::1S:1S:2S:2S:2S,,6,0.030309153364316024,Cluster_012_148.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_083_091.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,6,0.030309153364316024,Cluster_024_086.xyz
0,2,0,1,1,,1O:2O,,2S,,6,0.030309153364316024,Cluster_011_031.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,6,0.030309153364316024,Cluster_040_177.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,6,0.030309153364316024,Cluster_027_046.xyz
1,2,1,0,1,1O,1O:1O,1O,,,6,0.030309153364316024,Cluster_051_147.xyz
2,1,0,0,1,1O:2O,2O,,,,6,0.030309153364316024,Cluster_029_175.xyz
