num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_064_100.xyz
4,4,0,0,1,1O:1O:1O:2O,1O:1O:1O:2O,,,,9,0.045463730046474034,Cluster_028_121.xyz
4,4,2,0,1,1O:1O:1O:1O,1O:1O:1O:1O,1O:1O,,,8,0.0404122044857547,Cluster_090_170.xyz
3,3,2,0,1,1O:1O:1O,1O:1O:1O,:1O,,,8,0.0404122044857547,Cluster_031_085.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_029_015.xyz
2,2,1,1,1,1O:1O,1O:1O,2O,2S,,7,0.03536067892503536,Cluster_027_183.xyz
1,1,0,1,1,1O,1O,,4S,,7,0.03536067892503536,Cluster_022_133.xyz
1,1,0,9,1,1O,1O,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_038_016.xyz
2,2,3,0,1,1O:1O,1O:1O,1O:1O:2O,,,7,0.03536067892503536,Cluster_067_118.xyz
1,1,2,0,1,1O,1O,1O:1O,,,6,0.030309153364316024,Cluster_018_053.xyz
