num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,4,0,1,,,1O:1O:1O:2O,,,17,0.08587593453222873,Cluster_035_127.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,17,0.08587593453222873,Cluster_024_168.xyz
0,1,2,1,1,,1O,1O:1O,1S,,17,0.08587593453222873,Cluster_084_129.xyz
0,0,3,0,1,,,1O:1O:1O,,,16,0.0808244089715094,Cluster_059_162.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,15,0.07577288341079005,Cluster_066_150.xyz
1,0,1,1,1,1O,,2O,2S,,15,0.07577288341079005,Cluster_092_159.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,15,0.07577288341079005,Cluster_029_127.xyz
0,0,2,1,1,,,1O:1O,2S,,14,0.07072135785007072,Cluster_020_121.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,13,0.06566983228935139,Cluster_068_195.xyz
1,0,1,0,1,1O,,2O,,,12,0.06061830672863205,Cluster_028_115.xyz
0,1,1,1,1,,1O,1O,1S,,10,0.050515255607193374,Cluster_077_129.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,10,0.050515255607193374,Cluster_006_115.xyz
1,1,1,0,1,1O,1O,2O,,,10,0.050515255607193374,Cluster_048_092.xyz
2,0,0,1,1,1O:1O,,,3S,,9,0.045463730046474034,Cluster_055_171.xyz
2,1,0,1,1,1O:1O,1O,,1S,,9,0.045463730046474034,Cluster_055_164.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,9,0.045463730046474034,Cluster_037_182.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_067_123.xyz
2,0,1,1,1,1O:1O,,2O,1S,,8,0.0404122044857547,Cluster_081_187.xyz
0,0,1,1,1,,,1O,3S,,8,0.0404122044857547,Cluster_056_179.xyz
0,0,1,1,1,,,2O,1S,,7,0.03536067892503536,Cluster_092_195.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_024_094.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_040_141.xyz
0,0,3,0,1,,,1O:2O:2O,,,7,0.03536067892503536,Cluster_028_118.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,6,0.030309153364316024,Cluster_039_069.xyz
0,1,2,0,1,,1O,1O:1O,,,6,0.030309153364316024,Cluster_045_092.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_050_141.xyz
0,0,2,1,1,,,1O:2O,2S,,5,0.025257627803596687,Cluster_039_112.xyz
0,0,0,9,1,,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_042_023.xyz
0,0,1,1,1,,,2O,2S,,5,0.025257627803596687,Cluster_020_179.xyz
