num_dol,num_cyclohexane,num_tfsi,num_ps,num_li,atoms_dol,atoms_cyclohexane,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_037_044.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,13,0.06566983228935139,Cluster_001_192.xyz
0,0,2,1,1,,,1O:2O,2S,,12,0.06061830672863205,Cluster_023_041.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_086_031.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,10,0.050515255607193374,Cluster_084_116.xyz
2,0,1,0,1,1O:2O,,2O,,,9,0.045463730046474034,Cluster_017_068.xyz
0,0,2,1,1,,,1O:1O,3S,,9,0.045463730046474034,Cluster_003_070.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_011_106.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,8,0.0404122044857547,Cluster_009_089.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_005_044.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,6,0.030309153364316024,Cluster_099_133.xyz
3,0,2,0,1,:1O:1O,,1O:1O,,,6,0.030309153364316024,Cluster_086_086.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,6,0.030309153364316024,Cluster_081_159.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,6,0.030309153364316024,Cluster_059_060.xyz
0,0,3,0,1,,,1O:1O:2O,,,5,0.025257627803596687,Cluster_024_089.xyz
0,0,1,1,1,,,1O,2S,,5,0.025257627803596687,Cluster_086_044.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_097_044.xyz
2,0,1,1,1,1O:2O,,1O,1S,,5,0.025257627803596687,Cluster_051_097.xyz
1,0,2,1,1,1O,,:1O,1S,,5,0.025257627803596687,Cluster_051_167.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,5,0.025257627803596687,Cluster_027_095.xyz
