num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,16,0.0808244089715094,Cluster_038_045.xyz
0,0,3,0,1,,,1O:2O:2O,,,16,0.0808244089715094,Cluster_058_099.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,15,0.07577288341079005,Cluster_095_183.xyz
1,0,0,1,1,1O,,,3S,,14,0.07072135785007072,Cluster_018_044.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,12,0.06061830672863205,Cluster_015_155.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_030_045.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_052_024.xyz
0,0,2,1,1,,,1O:2O,1S,,10,0.050515255607193374,Cluster_036_016.xyz
0,0,2,1,1,,,1O:1O,1S,,10,0.050515255607193374,Cluster_038_016.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_059_039.xyz
0,0,4,0,1,,,1O:1O:2O:2O,,,10,0.050515255607193374,Cluster_057_112.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:3S:3S:3S:3S,,10,0.050515255607193374,Cluster_090_070.xyz
0,0,1,1,1,,,1O,2S,,9,0.045463730046474034,Cluster_009_185.xyz
0,0,2,1,1,,,1O:1O,3S,,9,0.045463730046474034,Cluster_051_004.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_036_045.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_100_056.xyz
0,0,2,1,1,,,1O:2O,2S,,7,0.03536067892503536,Cluster_067_189.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,6,0.030309153364316024,Cluster_014_014.xyz
2,0,3,0,1,1O:1O,,:1O:1O,,,6,0.030309153364316024,Cluster_034_030.xyz
0,0,1,1,1,,,1O,3S,,5,0.025257627803596687,Cluster_083_169.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,5,0.025257627803596687,Cluster_053_009.xyz
