num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,0,9,1,1O:1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,13,0.06566983228935139,Cluster_087_155.xyz
1,1,0,1,1,1O,,,1S,,13,0.06566983228935139,Cluster_077_162.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_005_136.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,11,0.05556678116791271,Cluster_038_125.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,11,0.05556678116791271,Cluster_090_136.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_035_164.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_038_165.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_053_021.xyz
0,0,3,0,1,,,1O:2O:2O,,,9,0.045463730046474034,Cluster_028_065.xyz
2,0,0,1,1,1O:2O,,,1S,,9,0.045463730046474034,Cluster_084_049.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_031_060.xyz
0,0,2,1,1,,,1O:2O,2S,,9,0.045463730046474034,Cluster_019_043.xyz
2,0,0,9,1,1O:1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_089_164.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_014_021.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_058_116.xyz
2,0,0,1,1,1O:1O,,,4S,,7,0.03536067892503536,Cluster_052_148.xyz
2,0,1,1,1,1O:2O,,1O,1S,,7,0.03536067892503536,Cluster_006_183.xyz
0,0,2,1,1,,,1O:2O,1S,,7,0.03536067892503536,Cluster_016_043.xyz
3,0,0,1,1,1O:1O:2O,,,1S,,7,0.03536067892503536,Cluster_099_025.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:2S:2S:2S,,7,0.03536067892503536,Cluster_093_162.xyz
3,0,2,0,1,1O:1O:1O,,:1O,,,7,0.03536067892503536,Cluster_049_093.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_083_157.xyz
0,0,2,1,1,,,1O:1O,1S,,7,0.03536067892503536,Cluster_013_039.xyz
2,0,1,0,1,1O:2O,,1O,,,6,0.030309153364316024,Cluster_010_147.xyz
2,0,1,0,1,1O:2O,,2O,,,6,0.030309153364316024,Cluster_064_186.xyz
0,1,2,0,1,,,1O:1O,,,6,0.030309153364316024,Cluster_029_189.xyz
3,0,1,1,1,:1O:1O,,1O,1S,,6,0.030309153364316024,Cluster_074_024.xyz
2,0,1,1,1,1O:1O,,1O,3S,,6,0.030309153364316024,Cluster_086_016.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,6,0.030309153364316024,Cluster_046_044.xyz
0,0,1,9,1,,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_026_021.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,5,0.025257627803596687,Cluster_007_190.xyz
4,0,0,0,1,1O:1O:1O:2O,,,,,5,0.025257627803596687,Cluster_055_096.xyz
4,0,0,1,1,1O:1O:1O:1O,,,1S,,5,0.025257627803596687,Cluster_098_101.xyz
0,0,0,17,1,,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_069_021.xyz
1,0,0,1,1,1O,,,4S,,5,0.025257627803596687,Cluster_012_068.xyz
0,0,3,0,1,,,1O:1O:2O,,,5,0.025257627803596687,Cluster_036_137.xyz
2,0,3,0,1,1O:1O,,:1O:1O,,,5,0.025257627803596687,Cluster_037_187.xyz
2,0,1,1,1,1O:1O,,2O,2S,,5,0.025257627803596687,Cluster_049_033.xyz
1,0,0,9,1,1O,,,1S:1S:2S:3S:3S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_068_146.xyz
0,0,4,0,1,,,1O:1O:2O:2O,,,5,0.025257627803596687,Cluster_093_032.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,5,0.025257627803596687,Cluster_001_018.xyz
2,1,0,0,1,1O:1O,,,,,5,0.025257627803596687,Cluster_025_167.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:1S:1S:2S,,5,0.025257627803596687,Cluster_041_053.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_086_162.xyz
4,0,0,1,1,:1O:1O:1O,,,1S,,4,0.02020610224287735,Cluster_065_143.xyz
2,0,1,1,1,:1O,,2O,1S,,4,0.02020610224287735,Cluster_030_004.xyz
4,0,1,0,1,:1O:1O:1O,,1O,,,4,0.02020610224287735,Cluster_070_028.xyz
2,0,2,1,1,1O:1O,,1O:1O,2S,,4,0.02020610224287735,Cluster_044_181.xyz
5,0,0,0,1,1O:1O:1O:1O:1O,,,,,4,0.02020610224287735,Cluster_077_096.xyz
0,0,1,9,1,,,2O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,4,0.02020610224287735,Cluster_032_021.xyz
1,0,1,1,1,1O,,1O,4S,,4,0.02020610224287735,Cluster_039_121.xyz
0,0,2,1,1,,,1O:1O,2S,,4,0.02020610224287735,Cluster_012_148.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,4,0.02020610224287735,Cluster_047_129.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,4,0.02020610224287735,Cluster_059_053.xyz
