num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,0,0,1,1O:1O:1O,,,,,17,0.08587593453222873,Cluster_086_084.xyz
1,0,2,0,1,1O,,1O:1O,,,14,0.07072135785007072,Cluster_011_017.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,13,0.06566983228935139,Cluster_024_119.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:3S:3S:4S:4S:4S,,13,0.06566983228935139,Cluster_098_083.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,12,0.06061830672863205,Cluster_010_190.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:1S:1S:2S,,11,0.05556678116791271,Cluster_023_143.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:2S:2S:2S,,11,0.05556678116791271,Cluster_078_143.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,11,0.05556678116791271,Cluster_007_190.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,9,0.045463730046474034,Cluster_091_008.xyz
1,0,0,17,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_079_161.xyz
0,0,0,17,1,,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_055_161.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,9,0.045463730046474034,Cluster_072_072.xyz
0,0,3,0,1,,,1O:2O:2O,,,8,0.0404122044857547,Cluster_085_141.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,8,0.0404122044857547,Cluster_013_159.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_047_005.xyz
0,0,3,0,1,,,1O:1O:2O,,,7,0.03536067892503536,Cluster_027_046.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,7,0.03536067892503536,Cluster_045_170.xyz
1,0,1,9,1,1O,,1O,1S:1S:2S:2S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_073_008.xyz
1,0,1,9,1,1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_005_161.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,7,0.03536067892503536,Cluster_061_121.xyz
3,0,1,1,1,:1O:1O,,1O,1S,,6,0.030309153364316024,Cluster_070_069.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:3S:3S:4S:4S:4S,,6,0.030309153364316024,Cluster_027_083.xyz
1,0,2,1,1,1O,,:1O,1S,,5,0.025257627803596687,Cluster_002_165.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_034_106.xyz
