num_dol,num_tpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tpe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,0,9,1,1O:1O,,,::::1S:1S:1S:1S:2S,,10,0.050515255607193374,Cluster_075_087.xyz
2,0,2,1,1,1O:1O,,1O:1O,2S,,10,0.050515255607193374,Cluster_012_094.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,10,0.050515255607193374,Cluster_092_030.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,9,0.045463730046474034,Cluster_017_032.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,9,0.045463730046474034,Cluster_099_187.xyz
0,0,3,0,1,,,1O:1O:2O,,,9,0.045463730046474034,Cluster_060_092.xyz
0,0,2,1,1,,,1O:1O,2S,,9,0.045463730046474034,Cluster_062_122.xyz
0,0,2,1,1,,,1O:1O,1S,,9,0.045463730046474034,Cluster_016_023.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,8,0.0404122044857547,Cluster_050_159.xyz
0,0,1,9,1,,,1O,::::1S:1S:1S:1S:2S,,8,0.0404122044857547,Cluster_003_052.xyz
0,0,2,1,1,,,1O:2O,2S,,7,0.03536067892503536,Cluster_073_077.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_020_052.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,7,0.03536067892503536,Cluster_092_001.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_036_073.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_096_055.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:3S:3S:4S:4S:4S,,7,0.03536067892503536,Cluster_017_164.xyz
0,0,1,9,1,,,1O,:::1S:1S:1S:1S:2S:3S,,6,0.030309153364316024,Cluster_013_052.xyz
2,0,3,0,1,:1O,,1O:1O:1O,,,6,0.030309153364316024,Cluster_063_133.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_010_044.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_098_001.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_093_055.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,6,0.030309153364316024,Cluster_078_173.xyz
2,0,1,1,1,1O:1O,,2O,2S,,5,0.025257627803596687,Cluster_016_026.xyz
2,0,2,1,1,1O:1O,,:1O,1S,,5,0.025257627803596687,Cluster_083_152.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_037_164.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_070_055.xyz
2,0,3,0,1,1O:1O,,:1O:1O,,,5,0.025257627803596687,Cluster_060_189.xyz
2,0,2,1,1,:1O,,1O:1O,1S,,5,0.025257627803596687,Cluster_024_192.xyz
0,0,3,0,1,,,1O:2O:2O,,,5,0.025257627803596687,Cluster_051_090.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,5,0.025257627803596687,Cluster_034_052.xyz
