num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_053_163.xyz
0,0,3,0,1,,,1O:1O:2O,,,14,0.07072135785007072,Cluster_054_037.xyz
0,1,1,1,1,,1O,2O,1S,,13,0.06566983228935139,Cluster_037_180.xyz
1,1,2,0,1,1O,1O,1O:2O,,,12,0.06061830672863205,Cluster_084_193.xyz
1,0,0,1,1,1O,,,1S,,12,0.06061830672863205,Cluster_055_075.xyz
0,0,1,1,1,,,1O,1S,,12,0.06061830672863205,Cluster_021_103.xyz
2,0,1,1,1,1O:1O,,2O,1S,,12,0.06061830672863205,Cluster_099_116.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,11,0.05556678116791271,Cluster_064_050.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,11,0.05556678116791271,Cluster_071_103.xyz
0,0,2,1,1,,,1O:1O,2S,,11,0.05556678116791271,Cluster_092_164.xyz
1,0,1,0,1,1O,,2O,,,11,0.05556678116791271,Cluster_040_059.xyz
1,0,1,0,1,1O,,1O,,,11,0.05556678116791271,Cluster_082_041.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,10,0.050515255607193374,Cluster_058_096.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,9,0.045463730046474034,Cluster_045_085.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_063_108.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_097_151.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_041_112.xyz
2,1,0,1,1,1O:1O,1O,,1S,,9,0.045463730046474034,Cluster_043_180.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,8,0.0404122044857547,Cluster_007_152.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,8,0.0404122044857547,Cluster_086_186.xyz
0,0,1,1,1,,,2O,1S,,8,0.0404122044857547,Cluster_039_062.xyz
0,0,3,1,1,,,1O:1O:2O,1S,,8,0.0404122044857547,Cluster_013_172.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,8,0.0404122044857547,Cluster_073_098.xyz
0,1,2,0,1,,1O,1O:1O,,,7,0.03536067892503536,Cluster_081_193.xyz
1,1,1,0,1,1O,1O,2O,,,7,0.03536067892503536,Cluster_033_194.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,7,0.03536067892503536,Cluster_005_036.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,7,0.03536067892503536,Cluster_027_194.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,6,0.030309153364316024,Cluster_079_118.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,6,0.030309153364316024,Cluster_087_151.xyz
2,0,0,0,1,1O:1O,,,,,6,0.030309153364316024,Cluster_065_141.xyz
