num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,15,0.07577288341079005,Cluster_010_121.xyz
1,0,2,0,1,1O,,2O:2O,,,14,0.07072135785007072,Cluster_009_030.xyz
0,0,2,1,1,,,1O:1O,2S,,14,0.07072135785007072,Cluster_054_124.xyz
1,0,2,1,1,1O,,1O:1O,2S,,13,0.06566983228935139,Cluster_026_170.xyz
0,0,1,1,1,,,2O,1S,,13,0.06566983228935139,Cluster_051_052.xyz
0,0,2,0,1,,,1O:1O,,,11,0.05556678116791271,Cluster_011_174.xyz
1,0,1,1,1,1O,,2O,2S,,11,0.05556678116791271,Cluster_035_020.xyz
1,0,0,0,1,1O,,,,,11,0.05556678116791271,Cluster_077_129.xyz
1,1,2,0,1,1O,1O,1O:2O,,,10,0.050515255607193374,Cluster_047_192.xyz
0,0,2,1,1,,,1O:2O,1S,,10,0.050515255607193374,Cluster_064_124.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,9,0.045463730046474034,Cluster_096_132.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,8,0.0404122044857547,Cluster_023_127.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,8,0.0404122044857547,Cluster_018_085.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,8,0.0404122044857547,Cluster_040_177.xyz
0,0,2,9,1,,,1O:1O,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_026_121.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,7,0.03536067892503536,Cluster_016_118.xyz
2,0,1,1,1,1O:1O,,2O,1S,,7,0.03536067892503536,Cluster_037_084.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,7,0.03536067892503536,Cluster_075_154.xyz
0,0,1,9,1,,,2O,:::::1S:1S:1S:1S,,6,0.030309153364316024,Cluster_084_163.xyz
