num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,41,0.20711254798949283,Cluster_051_110.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,40,0.2020610224287735,Cluster_053_095.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,40,0.2020610224287735,Cluster_033_078.xyz
1,1,1,1,1,1O,1O,1O,2S,,37,0.18690644574661547,Cluster_013_170.xyz
1,1,3,0,1,1O,1O,1O:1O:1O,,,35,0.1768033946251768,Cluster_082_128.xyz
3,0,0,0,1,1O:1O:1O,,,,,32,0.1616488179430188,Cluster_089_015.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,30,0.1515457668215801,Cluster_010_129.xyz
1,1,0,1,1,1O,1O,,3S,,29,0.14649424126086077,Cluster_065_160.xyz
1,0,2,1,1,1O,,1O:2O,1S,,28,0.14144271570014144,Cluster_023_156.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,24,0.1212366134572641,Cluster_036_002.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,24,0.1212366134572641,Cluster_078_184.xyz
1,2,0,0,1,1O,1O:1O,,,,23,0.11618508789654476,Cluster_005_045.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,22,0.11113356233582541,Cluster_057_120.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,22,0.11113356233582541,Cluster_069_093.xyz
0,0,2,1,1,,,1O:2O,1S,,22,0.11113356233582541,Cluster_068_114.xyz
1,0,2,0,1,1O,,1O:1O,,,22,0.11113356233582541,Cluster_091_166.xyz
1,2,0,1,1,1O,1O:1O,,1S,,20,0.10103051121438675,Cluster_042_176.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,20,0.10103051121438675,Cluster_077_187.xyz
0,1,2,0,1,,1O,1O:1O,,,20,0.10103051121438675,Cluster_079_176.xyz
0,1,0,1,1,,1O,,3S,,18,0.09092746009294807,Cluster_046_134.xyz
1,0,0,1,1,1O,,,3S,,18,0.09092746009294807,Cluster_034_139.xyz
2,0,1,1,1,1O:1O,,2O,1S,,18,0.09092746009294807,Cluster_027_131.xyz
2,1,0,1,1,1O:1O,1O,,2S,,18,0.09092746009294807,Cluster_028_103.xyz
0,1,2,1,1,,1O,1O:1O,2S,,17,0.08587593453222873,Cluster_004_116.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,17,0.08587593453222873,Cluster_076_040.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_083_016.xyz
0,1,1,1,1,,1O,2O,2S,,16,0.0808244089715094,Cluster_081_034.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,14,0.07072135785007072,Cluster_035_059.xyz
0,1,0,9,1,,1O,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,14,0.07072135785007072,Cluster_056_187.xyz
0,0,0,17,1,,,,:::::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S,,14,0.07072135785007072,Cluster_015_069.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_089_025.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,12,0.06061830672863205,Cluster_081_132.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,12,0.06061830672863205,Cluster_077_110.xyz
1,0,0,17,1,1O,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_028_078.xyz
0,1,2,0,1,,1O,2O:2O,,,11,0.05556678116791271,Cluster_022_095.xyz
1,0,2,0,1,1O,,2O:2O,,,11,0.05556678116791271,Cluster_079_087.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_091_187.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,11,0.05556678116791271,Cluster_058_100.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,10,0.050515255607193374,Cluster_039_189.xyz
0,0,2,1,1,,,1O:1O,2S,,10,0.050515255607193374,Cluster_036_195.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,10,0.050515255607193374,Cluster_023_051.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,9,0.045463730046474034,Cluster_081_156.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_023_020.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_061_100.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,9,0.045463730046474034,Cluster_094_032.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,9,0.045463730046474034,Cluster_031_141.xyz
