,diffusion (m2/s),std,R2
dol,5.819902202376932e-10,1.3800488214730823e-12,0.9994380296554829
dfep,7.836623626149233e-10,2.4791846243190246e-12,0.9990001719325958
tfsi,6.868141915409827e-11,3.301051430163685e-13,0.9976952492505624
ps,3.238207974367016e-11,6.646231387743393e-13,0.9595776496180575
li,6.272493996179683e-11,3.8647491416749466e-13,0.9962180436359491
