,diffusion (m2/s),std,R2
dol,1.0334744412310973e-09,1.7917926987724035e-12,0.9996994992788542
acn,7.596988494831768e-10,9.806245090886844e-13,0.9998334095143375
tfsi,5.009398926214166e-10,2.9626261222513124e-12,0.9965144920484713
ps,2.7093050335442497e-10,2.647055812146357e-12,0.9905445025692511
li,3.878783453386639e-10,8.591637729876842e-13,0.9995096029877736
