,diffusion (m2/s),std,R2
dol,4.91379494069232e-10,7.315850358825967e-13,0.9997783849180654
dma,1.6305381481355828e-10,1.085430495334578e-12,0.9955881389720096
tfsi,1.678260786373687e-10,7.72363249088999e-13,0.9978864844479209
ps,7.273939855137797e-11,5.488793775175826e-13,0.9943382775668272
li,1.1947851072333945e-10,7.411830278058079e-13,0.9961664314486945
