,diffusion (m2/s),std,R2
dol,3.8213008221400764e-10,5.180479753775832e-13,0.9998162456219754
g3,1.0668681885979549e-10,4.673649645623978e-13,0.9980846059602135
tfsi,1.1943938136067145e-10,3.39357245180139e-13,0.999193380514473
ps,3.83727082779447e-11,3.055183505020885e-13,0.9937008008763608
li,8.700707795340842e-11,4.15862134598106e-13,0.9977207152793479
