,diffusion (m2/s),std,R2
dol,5.296548116304925e-10,9.029598106069183e-13,0.9997094473811642
dipe,6.406568221636013e-10,1.7691638828170031e-12,0.9992380014214584
tfsi,9.923715377739837e-11,6.226509730695596e-13,0.9960786610868638
ps,4.1061706605139145e-11,4.5387244260748486e-13,0.9879296556280512
li,8.402932118392136e-11,6.397464131879978e-13,0.9942370618700768
