,diffusion (m2/s),std,R2
dol,8.831859795297135e-10,1.5459286597312509e-12,0.9996937038613192
prn,4.741143807112538e-10,1.257615852818005e-12,0.9992968883649623
tfsi,3.2269014343046793e-10,1.3513531921174271e-12,0.9982493256488163
ps,1.4399855102426595e-10,1.189891953995376e-12,0.9932182232229351
li,2.629455445398426e-10,9.413507025380204e-13,0.9987199851445608
