,diffusion (m2/s),std,R2
dol,5.415468093462596e-10,8.147895304382559e-13,0.9997736812285631
mtbe,5.043654522943365e-10,9.389145964586464e-13,0.9996535735507753
tfsi,1.3319319088324376e-10,8.376854898474829e-13,0.9960601155112694
ps,4.291862994714171e-11,1.1024726064816285e-12,0.9380996788989511
li,1.0627733821682328e-10,6.518221399361625e-13,0.9962524599330723
