,diffusion (m2/s),std,R2
dol,5.116703329392336e-10,1.2598521049071134e-12,0.9993941076871669
ettfpe,6.241332294110114e-10,3.708434985086901e-12,0.996481997164393
tfsi,7.94356350056873e-11,6.46045127011539e-13,0.9934289949899956
ps,4.293944083155175e-11,4.09156432089154e-13,0.9910021121357844
li,7.214313708020044e-11,4.4801142186670445e-13,0.9961583613631846
