,diffusion (m2/s),std,R2
dol,3.776199286000442e-10,9.94222593572047e-13,0.9993072819613992
tfpg,1.4447210368453727e-10,8.405730131221893e-13,0.9966262320665134
tfsi,1.0850281632605227e-10,4.2946949733784304e-13,0.9984357622803182
ps,4.930540027062523e-11,3.172144573089422e-13,0.9958778570984682
li,8.485772691111862e-11,4.1303115196953033e-13,0.9976365024301617
