,diffusion (m2/s),std,R2
dol,5.260101614308569e-10,1.1506910642589473e-12,0.9995216768169082
hfme,6.388630594820191e-10,2.459728053521155e-12,0.9985198173020973
tfsi,6.140458414124052e-11,3.4903491032241597e-13,0.9967794117482243
ps,3.611249523782732e-11,4.668396949566995e-13,0.9835629930819296
li,5.467348813964636e-11,3.9421732651309386e-13,0.994827913091329
