,diffusion (m2/s),std,R2
DOL,6.015780751211516e-10,2.493481742896789e-12,0.9982849258579152
TFMTMS,1.1134118298310104e-09,4.936168736008384e-12,0.9980383768748615
TFSI,4.721708690679708e-11,5.060199705624333e-13,0.9886452540696441
PS,2.638350282165194e-11,3.0149653930688073e-13,0.9871096370418895
Li,4.745851794703799e-11,4.378461889454458e-13,0.9915601665575433
