,diffusion (m2/s),std,R2
dol,3.582271470115303e-10,5.587927656248137e-13,0.9997567354082882
eee,1.1020194332761134e-10,2.7073663167087457e-13,0.9993968108846895
tfsi,1.2632294613193207e-10,3.5740755636498254e-13,0.9992001372835313
ps,4.3894408691577665e-11,4.398851691802364e-13,0.9900569321533932
li,8.210226248713366e-11,2.699677314292362e-13,0.9989199492807335
