,diffusion (m2/s),std,R2
dol,4.364643458621364e-10,7.56614907010608e-13,0.9996995849030188
dmds,6.469384612260758e-10,1.141697269219439e-12,0.9996886558241334
tfsi,1.837626150978118e-10,4.808530398941003e-13,0.9993157526248186
ps,8.058919619344471e-11,9.88132278275958e-13,0.9851886070151208
li,1.4976677617647735e-10,9.97254953078373e-13,0.9955857177465487
