,diffusion (m2/s),std,R2
dol,2.291722962083214e-10,1.1333045904497384e-12,0.9975604580571581
dpt,2.2940686958694377e-11,2.508097508795226e-13,0.9881882114202837
tfsi,3.521982208681788e-11,2.932887992830823e-13,0.9931132327072033
ps,1.4220531207208218e-11,1.2387887276219147e-13,0.9924685326788775
li,1.9276658828967452e-11,2.751234137256397e-13,0.9800366284979978
