,diffusion (m2/s),std,R2
dol,8.509526146449948e-10,1.3857440328697247e-12,0.9997348814441194
ma,8.025945999374085e-10,7.403433861179325e-13,0.9999149181385397
tfsi,3.2740990410227065e-10,6.333813388149806e-13,0.9996259028467127
ps,1.1583950978447146e-10,9.362469197965428e-13,0.9935100753052487
li,2.41766826114109e-10,8.695363977034693e-13,0.998708124399055
