,diffusion (m2/s),std,R2
dol,4.925096665346773e-10,1.966723884225028e-12,0.9984079185471006
tfepe,7.226255478182233e-10,2.7323842290825896e-12,0.9985723017334487
tfsi,5.577155422462757e-11,7.706789945543332e-13,0.9812627072085928
ps,1.8076147543537336e-11,3.474063193400061e-13,0.9643785799554868
li,4.6136387730888566e-11,7.33859035029202e-13,0.9753233203591917
