,diffusion (m2/s),std,R2
dol,4.307468647445443e-10,1.592787055036884e-12,0.9986345438136605
dbe,5.401342315751244e-10,2.232376484602552e-12,0.9982947413641845
tfsi,7.120884111409495e-11,4.746971080689058e-13,0.9955757501409924
ps,3.394044665963661e-11,3.616124608940062e-13,0.9887759507632189
li,6.074600568112704e-11,4.534863816940837e-13,0.9944578353956918
