,diffusion (m2/s),std,R2
dol,4.423986584407499e-10,4.661672786227255e-13,0.9998889783312647
tfeg,1.9773596566652228e-10,7.612717176997918e-13,0.998519989433503
tfsi,1.2176906342701722e-10,8.400283455024876e-13,0.9952635598521606
ps,6.735209634087385e-11,8.658260712742745e-13,0.9837429877851445
li,1.1332959059141986e-10,6.614550638409784e-13,0.9966050207656993
