,diffusion (m2/s),std,R2
dol,3.98422739953099e-10,1.1286351169435063e-12,0.9991981917474813
cyclohexane,5.859140214118986e-10,1.7970608309204946e-12,0.9990601697501909
tfsi,5.8034613803795214e-11,3.812184679494925e-13,0.9957036095027266
ps,2.739833205764599e-11,4.619868922769407e-13,0.9723538044572126
li,5.6321953506258525e-11,4.023145204625566e-13,0.9949234849502053
