,diffusion (m2/s),std,R2
dol,4.1767868135855214e-10,1.4272027277441333e-12,0.9988337814687082
tfeibe,5.026515754692754e-10,2.3193307254480326e-12,0.9978754468355899
tfsi,4.1933962725734145e-11,5.558509031134833e-13,0.982732864324949
ps,1.4133591835187618e-11,2.8753157788131083e-13,0.9602576291814446
li,3.722621771510828e-11,4.222156490524118e-13,0.9872995310566504
