,diffusion (m2/s),std,R2
dol,2.9654414485669344e-10,4.922926251168774e-13,0.9997244830763118
dmi,7.383568250269382e-11,5.996214455015109e-13,0.9934481052459705
tfsi,8.396770255973421e-11,4.2357929395641665e-13,0.9974617105980192
ps,3.14442749792398e-11,2.3343031852107653e-13,0.9945191928247684
li,5.954337794398719e-11,3.7384039555007156e-13,0.996073578333701
