,diffusion (m2/s),std,R2
dol,4.394986481668675e-10,8.143112093297727e-13,0.999656824184772
hme,4.3544554056528713e-10,1.2869496764734265e-12,0.9991272773420324
tfsi,1.19509690012379e-10,9.157773829428684e-13,0.9941624455988483
ps,6.387032004055155e-11,5.586328535218828e-13,0.9924081939722289
li,1.0045365814157332e-10,8.690323014907784e-13,0.9925714830499913
