num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,19,0.0959789856536674,Cluster_029_109.xyz
0,0,3,0,1,,,1O:2O:2O,,,19,0.0959789856536674,Cluster_027_142.xyz
0,0,5,0,1,,,:1O:1O:1O:1O,,,18,0.09092746009294807,Cluster_095_067.xyz
1,0,0,17,1,1O,,,:::::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_090_006.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_082_004.xyz
0,0,2,1,1,,,1O:1O,1S,,16,0.0808244089715094,Cluster_067_123.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,15,0.07577288341079005,Cluster_065_141.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,13,0.06566983228935139,Cluster_006_067.xyz
0,0,2,1,1,,,1O:1O,2S,,12,0.06061830672863205,Cluster_066_123.xyz
1,0,4,0,1,1O,,:1O:1O:1O,,,11,0.05556678116791271,Cluster_080_152.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:1S:1S:2S,,10,0.050515255607193374,Cluster_068_006.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,10,0.050515255607193374,Cluster_005_003.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,10,0.050515255607193374,Cluster_090_020.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_064_128.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,10,0.050515255607193374,Cluster_070_091.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S,,10,0.050515255607193374,Cluster_098_073.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_051_004.xyz
2,0,3,0,1,1O:1O,,:1O:1O,,,9,0.045463730046474034,Cluster_044_051.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_003_109.xyz
