num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,1,0,1,,2O,2O,,,20,0.10103051121438675,Cluster_042_176.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,17,0.08587593453222873,Cluster_028_089.xyz
0,2,0,1,1,,:2O,,1S,,16,0.0808244089715094,Cluster_004_177.xyz
0,1,1,1,1,,2O,2O,1S,,16,0.0808244089715094,Cluster_001_002.xyz
1,0,0,1,1,1O,,,3S,,15,0.07577288341079005,Cluster_068_043.xyz
0,0,3,1,1,,,1O:1O:2O,1S,,14,0.07072135785007072,Cluster_032_071.xyz
1,1,1,1,1,1O,2O,1O,1S,,13,0.06566983228935139,Cluster_074_036.xyz
1,0,2,0,1,1O,,2O:2O,,,13,0.06566983228935139,Cluster_034_148.xyz
2,0,1,1,1,1O:1O,,2O,1S,,12,0.06061830672863205,Cluster_083_030.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,12,0.06061830672863205,Cluster_045_052.xyz
1,1,1,0,1,1O,1O,1O,,,11,0.05556678116791271,Cluster_038_177.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,11,0.05556678116791271,Cluster_079_161.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_014_101.xyz
2,1,0,1,1,1O:1O,1O,,1S,,11,0.05556678116791271,Cluster_004_046.xyz
0,0,2,1,1,,,1O:2O,1S,,10,0.050515255607193374,Cluster_052_071.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,10,0.050515255607193374,Cluster_005_042.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_100_191.xyz
0,1,1,1,1,,1O,1O,1S,,10,0.050515255607193374,Cluster_000_019.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,9,0.045463730046474034,Cluster_001_186.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,9,0.045463730046474034,Cluster_013_024.xyz
1,1,1,0,1,1O,1O,2O,,,9,0.045463730046474034,Cluster_051_103.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_086_101.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_082_040.xyz
1,2,1,0,1,1O,:2O,1O,,,8,0.0404122044857547,Cluster_022_155.xyz
1,2,0,0,1,1O,1O:2O,,,,8,0.0404122044857547,Cluster_066_115.xyz
