num_dol,num_dbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,3,0,1,,1O,1O:1O:1O,,,21,0.10608203677510608,Cluster_084_116.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,20,0.10103051121438675,Cluster_063_166.xyz
2,0,1,1,1,1O:1O,,2O,1S,,20,0.10103051121438675,Cluster_054_042.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,19,0.0959789856536674,Cluster_073_124.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,18,0.09092746009294807,Cluster_032_117.xyz
0,0,5,0,1,,,1O:1O:1O:1O:1O,,,17,0.08587593453222873,Cluster_068_163.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_004_060.xyz
2,1,0,0,1,1O:1O,1O,,,,16,0.0808244089715094,Cluster_008_086.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_040_060.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,15,0.07577288341079005,Cluster_032_107.xyz
0,0,3,0,1,,,1O:1O:2O,,,15,0.07577288341079005,Cluster_032_112.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,15,0.07577288341079005,Cluster_022_095.xyz
1,1,3,0,1,1O,1O,1O:1O:1O,,,14,0.07072135785007072,Cluster_093_135.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,14,0.07072135785007072,Cluster_095_163.xyz
1,0,0,1,1,1O,,,1S,,14,0.07072135785007072,Cluster_094_039.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,14,0.07072135785007072,Cluster_051_103.xyz
0,1,1,1,1,,1O,2O,1S,,13,0.06566983228935139,Cluster_006_099.xyz
0,1,2,0,1,,1O,1O:1O,,,12,0.06061830672863205,Cluster_097_116.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,12,0.06061830672863205,Cluster_077_079.xyz
0,1,3,0,1,,1O,1O:1O:2O,,,11,0.05556678116791271,Cluster_014_174.xyz
0,0,2,1,1,,,1O:1O,3S,,10,0.050515255607193374,Cluster_063_168.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,10,0.050515255607193374,Cluster_013_066.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,9,0.045463730046474034,Cluster_015_125.xyz
0,0,2,1,1,,,1O:2O,1S,,9,0.045463730046474034,Cluster_061_064.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,9,0.045463730046474034,Cluster_008_023.xyz
0,0,1,1,1,,,1O,3S,,8,0.0404122044857547,Cluster_087_155.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,8,0.0404122044857547,Cluster_029_027.xyz
0,0,5,0,1,,,1O:1O:1O:1O:2O,,,8,0.0404122044857547,Cluster_084_163.xyz
